stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,107,12.59,0,0,34.62,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,4,5,0,4,0,0,0,2,2,0,2,0,2,0,0,1,0,20,0,0,19,83,7,0,1,2,0,2,0,5,2,1,15,35,0,0,1,0,0
 24-34,0,0,0,0,13.13,0.82,0,16.42,0,0,0.82,3.28,0.82,1.64,0.82,0,8.21,0,0,0.82,0.82,58.28,0,0,61.56,170.74,13.13,0.82,1.64,0,0,25.45,0,0.82,0,0,2.46,30.37,0,0,33.66,0,0
 36-46,0,0,0,0,5.64,0.81,0,28.2,0,0.81,6.45,24.17,2.42,0,4.03,0,0.81,0,0,0,0,136.16,0.81,3.22,46.73,189.33,16.11,0,0.81,0,0,40.28,0.81,0,0,0,0,53.17,0,0.81,29,0,0.81
 48-58,0.57,0,0,0,1.72,0,0,34.43,0,1.15,4.02,48.77,0,1.72,4.02,0,0.57,0,1.72,1.15,0,172.72,1.72,4.02,29.84,67.71,5.16,1.15,0.57,0,0.57,43.61,0,0,0.57,0,0,29.84,0,1.15,12.05,0.57,0.57
 60-70,0,0,0,0,6.87,0,0,96.19,0,4.91,8.83,113.86,1.96,0,3.93,0,0.98,0,0.98,0.98,0,302.31,0.98,10.8,22.58,70.67,3.93,0,2.94,0,3.93,57.91,0,0,0.98,0,0,29.45,0,10.8,17.67,14.72,0
 72-82,0,0,0,0,7.85,0.98,0,52.03,1.96,1.96,5.89,86.39,0.98,0,9.82,0,3.93,0,1.96,0,0,275.85,4.91,14.72,29.45,46.14,3.93,0,2.94,0,2.94,61.84,0,0,0.98,0,0,4.91,0.98,24.54,25.52,25.52,0.98
 84-94,0,0,2.12,0,18.05,0,0,62.66,0,2.12,9.56,53.1,7.43,1.06,4.25,0,6.37,1.06,2.12,2.12,1.06,214.53,4.25,24.43,19.12,28.68,6.37,0,4.25,0,2.12,168.86,0,0,0,0,0,6.37,2.12,22.3,21.24,25.49,3.19
 96-106,0,0,0,0,18.58,0,1.09,37.16,1.09,5.46,8.74,49.18,2.19,0,10.93,0,7.65,1.09,0,0,0,184.69,4.37,4.37,18.58,41.53,1.09,0,7.65,0,7.65,109.28,0,0,1.09,0,0,1.09,1.09,18.58,21.86,45.9,2.19
108-118,0,0,0,0.77,16.09,0.77,0,21.45,0,10.72,7.66,48.26,6.89,0,1.53,0.77,8.43,0.77,1.53,3.06,0,119.49,2.3,5.36,9.19,32.94,4.6,3.06,5.36,0,6.13,75.06,0,0,0,0,0,5.36,2.3,7.66,16.09,19.15,3.06
120,0,0,0,0,21.56,0,0,15.68,0,9.8,0,37.24,5.88,0,7.84,0,5.88,0,0,0,0,90.15,0,1.96,13.72,19.6,3.92,1.96,5.88,0,0,60.75,0,0,0,0,0,1.96,0,5.88,13.72,19.6,0
