stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,12.59,0,0,34.62,0,0,3.15,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,3,9,58,45,6,0,5,0,5,7,2,14,0,0,0,1,1,0,37,0,0,39,50,148,0,0,9,0,0,0,16,1,6,75,50,0,0,47,0,0
 24-34,0,0.82,1.64,0.82,24.63,9.03,20.52,0,15.6,0.82,5.75,0,0,20.52,0,0,0,1.64,0.82,1.64,72.24,0,0,47.61,114.1,16.42,0.82,0,0,0,0,0,0,4.93,0,45.97,45.15,0,0,199.47,0,0.82
 36-46,0,0,0,0,6.45,0,16.11,2.42,12.09,1.61,4.03,0,0,11.28,0,0,0,0.81,0,0.81,82.98,0,4.03,30.62,99.1,4.03,0.81,0,0,0.81,0,0,0.81,0,3.22,0.81,31.42,0,0,121.66,0,0
 48-58,0,0,0,0,4.59,0,66.56,2.87,14.92,5.16,7.46,0,0.57,17.21,0,0,2.87,1.15,0.57,1.15,88.37,0,2.87,24.1,139.43,1.72,1.15,0.57,0,0.57,0,0,0,0,1.72,0,24.67,0,1.72,110.17,0,2.87
 60-70,0.98,0,0.98,0,10.8,0,173.73,3.93,11.78,3.93,14.72,0,0,13.74,0,0,4.91,3.93,0,0.98,142.32,0,3.93,18.65,233.6,0,0,0.98,0,1.96,0.98,0,0.98,0.98,0.98,0,50.06,0,1.96,83.43,2.94,1.96
 72-82,0,0,0.98,0,14.72,0.98,206.15,1.96,9.82,3.93,15.71,1.96,0,23.56,0,0.98,8.83,4.91,0,0,209.09,0,10.8,21.6,354.38,0,0,0,0,5.89,1.96,0,0,0.98,0,0,21.6,0,10.8,196.33,8.83,0
 84-94,0,0,0,0,39.3,0,152.93,4.25,24.43,6.37,13.81,5.31,0,15.93,2.12,1.06,18.05,4.25,0,0,163.55,0,13.81,15.93,201.79,2.12,1.06,0,0,1.06,2.12,0,0,0,1.06,0,19.12,2.12,6.37,184.79,7.43,1.06
 96-106,0,0,1.09,0,38.25,5.46,167.21,1.09,22.95,4.37,12.02,4.37,0,26.23,0,0,15.3,5.46,2.19,1.09,130.05,0,5.46,13.11,213.11,0,2.19,1.09,0,5.46,0,0,0,1.09,0,0,8.74,1.09,2.19,217.48,14.21,2.19
108-118,0.77,0,0,0.77,46.72,4.6,107.23,3.06,34.47,3.06,11.49,4.6,0,7.66,1.53,2.3,30.64,5.36,3.06,0,104.94,1.53,2.3,8.43,200.68,0.77,1.53,0.77,0,3.06,3.06,0,0,1.53,0,0,6.89,3.06,6.13,174.64,9.19,0
120,0,0,0,1.96,17.64,3.92,96.03,0,23.52,0,3.92,3.92,0,5.88,0,3.92,11.76,1.96,3.92,0,88.19,5.88,3.92,5.88,231.25,0,1.96,0,0,3.92,1.96,0,0,0,0,0,5.88,0,5.88,121.51,7.84,0
