stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,13.14,0,0,34.17,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,233.96,7.89,0,0,92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,31.47,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,8,0,0,2,3,0,0,0,2,0,0,0,0,4,0,0,5,101,0,0,0,2,0,1,6,0,12,22,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,18.06,0,0,2.46,0.82,0,0.82,0,0,0,0,0,0,11.49,0,0,4.1,146.93,0,3.28,2.46,0,0,0.82,0,0,0.82,36.12,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,30.62,0,0,6.45,0,0,0,0,0,0,0,0,0,5.64,0,0,5.64,209.47,0,0.81,0.81,0,0,0.81,0.81,0,0,40.28,0,0,1.61,0,0
 48-58,0,0,0,2.3,0,51.07,0,0.57,8.61,0,0,0.57,0,0,0,0,0,1.15,8.61,0,0,2.3,204.85,0,2.3,1.72,0,0.57,0,0,0,0,47.05,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,66.74,0,1.96,15.7,0,0,0,0,0,0.98,1.96,0,0,24.54,0,0,3.93,211.03,0,3.93,0.98,0,0,2.94,0,0.98,0,27.48,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,53.01,0,0.98,20.61,0,0,0,0.98,0.98,0,0,0,0,25.52,0,0,4.91,161.97,0,2.94,1.96,0,0.98,0,0,0,0,9.82,0,0.98,2.94,0,0
 84-94,0,0,0,6.37,0,42.48,0,1.06,6.37,1.06,0,0,3.19,1.06,0,0,1.06,0,15.93,0,1.06,6.37,94.52,1.06,2.12,0,0,0,4.25,0,0,0,7.43,0,0,3.19,0,1.06
 96-106,0,0,0,5.46,1.09,29.51,0,0,10.93,0,0,0,1.09,0,1.09,1.09,1.09,1.09,18.58,2.19,0,1.09,84.15,0,5.46,3.28,0,0,1.09,0,1.09,0,4.37,2.19,0,3.28,1.09,0
108-118,0,0,0,4.6,0,19.92,1.53,0,22.21,0,0,0,1.53,0,0.77,0.77,1.53,0.77,19.92,0,0,3.06,101.11,0,3.06,3.06,0,0,3.06,0,0,0,5.36,0,0.77,1.53,0.77,0.77
120,0,0,0,5.88,0,17.64,0,0,9.8,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,84.27,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,1.96,1.96,1.96,1.96
