stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,36.78,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,15.77,0,0,0,42.06,0,0,0,7.89,0,0,0,0,0,0,0,283.9,13.14,0,0,94.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,6.29,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,320.99,6.29,0,0,129.03,0,6.29,0,12.59,0,0,0,0,0
 14-21,0,0,0,12,1,0,18,0,2,0,0,0,0,0,0,11,0,9,175,2,0,3,4,0,0,24,0,46,39,0,0,1
 24-34,0,0,0,1.64,0,0,18.06,0,0,0,0,0,0.82,0,0,5.75,0,4.1,101.79,0,0.82,0,0,0,0,0,0.82,0.82,16.42,0,0,0.82
 36-46,0,0,0,0,0,0,21.75,0,3.22,0,0,0,0,0,0,6.45,0,0.81,70.9,0.81,0,0.81,0,0,0,0,0.81,0,19.34,0,0,0.81
 48-58,0,0,0,0.57,0,0,35,0,7.46,0,0,0.57,0,0,0,8.61,0,2.3,60.82,0.57,0,0,0,0.57,0,0,0,0,7.46,0,0,0
 60-70,0,0,0,0.98,0,0,32.39,0,5.89,0,0,0,0.98,0,0,2.94,0,0.98,38.28,0,0,0,0,0,0,0,0,0,6.87,0,0,0
 72-82,0,0,0,2.94,0,0,23.56,0.98,5.89,0.98,0,0,0,1.96,0,10.8,0,2.94,28.47,0,0.98,0,0,0,0,0,0,0,3.93,0,0.98,1.96
 84-94,0,0,0,1.06,2.12,0,22.3,0,3.19,1.06,0,0,1.06,0,0,3.19,0,2.12,21.24,0,0,0,0,5.31,0,0,0,0,2.12,1.06,0,0
 96-106,0,0,0,1.09,0,0,14.21,0,6.56,0,0,0,0,0,0,5.46,1.09,1.09,16.39,0,3.28,0,0,3.28,0,0,0,0,0,0,1.09,0
108-118,0,0,0,2.3,0.77,1.53,9.19,0,9.19,0,0,0,0,0,0.77,6.89,0,1.53,23.74,0,0.77,1.53,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,11.76,0,5.88,1.96,0,0,0,0,0,1.96,0,5.88,21.56,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
