stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,10.51,0,2.63,0,0,49.95,5.26,23.66,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,53.5,9.44,15.73,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
