stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,540.3,8209.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,766.2,12038.6,0,12.26,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,337.13,36.78,0,0,134.85,0,183.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,155.09,283.9,0,289.16,0,2.63,0,1159.26,0,0,0,0,0,302.3,0,0,0,0,0,0,0,0,0,0,0,6895.11,162.98,0,0,2633.97,0,5.26,18.4,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,182.52,0,226.58,0,25.18,0,925.21,0,0,0,0,0,135.32,0,0,0,0,0,3.15,0,0,0,0,3.15,5601.61,154.2,0,0,2369.67,0,6.29,28.32,18.88,239.17,0,28.32,6.29,0,0,0,0,0
 14-21,1,3,0,101,1257,445,0,1310,0,1,0,76,38,43,3,3,27,2,7,4,16,497,3,0,469,6825,146,6,71,249,0,50,14,1347,21,39,2981,1670,0,0,2,0,9
 24-34,0.82,0.82,2.46,52.53,329.98,100.14,0,1446.35,4.1,7.39,9.03,76.34,22.16,2.46,2.46,4.1,14.78,13.95,21.34,15.6,9.85,696.09,4.93,3.28,253.64,4280.76,34.48,23.8,67.31,0.82,2.46,71.41,1.64,4.93,6.57,12.31,533.56,812.65,0,0,41.86,0,14.78
 36-46,0,0,0.81,7.25,92.65,9.67,0,953.11,5.64,4.03,18.53,87.82,21.75,0.81,2.42,4.83,3.22,5.64,11.28,12.09,0,418.14,4.03,12.89,154.69,1699.96,14.5,6.45,28.2,0,0.81,35.45,4.83,0,2.42,0,12.09,297.29,0,0,32.23,0.81,6.45
 48-58,1.15,0,0.57,4.02,83.2,5.16,0,838.33,5.74,5.74,21.23,141.16,40.17,0.57,8.03,6.31,4.59,11.48,6.89,20.66,1.15,496.92,3.44,22.38,172.72,808.49,15.49,4.59,23.53,0,1.15,22.95,1.15,0.57,2.3,1.72,0.57,122.22,0,0.57,35,0.57,6.31
 60-70,0.98,0,0,0,66.74,6.87,0,408.31,4.91,3.93,19.63,140.36,33.37,0,2.94,6.87,3.93,2.94,7.85,20.61,0.98,324.88,2.94,17.67,87.36,427.94,13.74,3.93,15.7,0,4.91,26.5,0.98,0,4.91,1.96,0,26.5,0,2.94,18.65,1.96,3.93
 72-82,0,0,8.83,0,106.02,53.01,15.71,377.94,3.93,6.87,38.28,214.98,89.33,0,3.93,46.14,9.82,4.91,14.72,22.58,1.96,590.96,7.85,19.63,174.74,553.66,15.71,12.76,19.63,0,2.94,53.99,0.98,0,4.91,0,0,30.43,2.94,11.78,52.03,10.8,5.89
 84-94,0,0,6.37,1.06,150.81,64.78,40.36,362.15,1.06,7.43,22.3,143.38,105.14,1.06,10.62,50.98,27.61,11.68,14.87,46.73,1.06,436.5,3.19,19.12,161.43,401.45,18.05,16.99,24.43,0,3.19,230.46,0,0,4.25,3.19,0,22.3,9.56,9.56,58.41,7.43,6.37
 96-106,0,0,5.46,0,369.38,91.8,20.76,343.15,6.56,33.88,33.88,184.69,98.36,0,24.04,89.61,28.41,10.93,24.04,27.32,4.37,633.85,7.65,13.11,196.71,444.79,37.16,22.95,37.16,0,13.11,224.03,3.28,0,8.74,2.19,0,15.3,10.93,15.3,85.24,26.23,12.02
108-118,0,0,3.83,4.6,608.17,110.3,28.34,274.21,4.6,64.34,37.53,219.83,79.66,0,9.19,90.38,23.74,15.32,23.74,32.17,3.06,663.32,9.96,11.49,235.92,582.9,51.32,24.51,35.23,0,9.19,236.68,0,0,6.13,0.77,0,13.79,15.32,5.36,79.66,13.79,27.57
120,1.96,0,0,1.96,509.54,107.79,1.96,184.22,5.88,27.44,35.28,186.18,45.08,0,9.8,90.15,15.68,9.8,11.76,13.72,1.96,495.83,13.72,11.76,217.54,542.86,56.83,7.84,35.28,0,7.84,221.46,1.96,1.96,5.88,0,0,9.8,3.92,15.68,43.12,5.88,11.76
