stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,1,1,0,8,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0,13.95,13.13,0.82,0,0.82,3.28,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,16.92,11.28,0.81,0,0,1.61,3.22,0,0,0
 48-58,0,0,0,0,2.3,0,0,1.15,0,0,0,0,0,1.15,9.18,4.59,0.57,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,0,0.98,0,0,0,0.98,0,0,5.89,7.85,0,0,0.98,0.98,0.98,0,0,0
 72-82,0,0.98,0,0,3.93,0.98,0.98,4.91,0,0.98,0,0,0,0,13.74,6.87,0,0,0.98,0,0.98,0,0,0
 84-94,0,1.06,2.12,1.06,2.12,0,0,2.12,1.06,0,1.06,0,0,0,5.31,4.25,0,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09,1.09,5.46,15.3,0,0,1.09,0,1.09,0,0,0
108-118,0,0.77,0,0,2.3,0,0,2.3,0.77,0,0,0,0,1.53,5.36,5.36,0,0,0.77,2.3,0.77,0,0,0
120,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,13.72,0,0,0,1.96,0,0,0,0,1.96
