stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,28.92,47.32,0,2.63,0,47.32,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,604.6,18.4,0,0,365.39,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,81.82,0,3.15,0,59.79,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,1362.64,37.76,0,0,928.36,0,3.15,3.15,18.88,69.23,0,6.29,3.15,0,0,0,0,0
 14-21,1,0,18,430,44,0,325,0,1,0,15,13,2,2,17,3,2,0,1,12,143,3,0,100,889,18,1,12,57,0,23,0,290,2,2,253,365,0,0,11,0,7
 24-34,0.82,0,9.03,174.02,9.03,0,210.96,0,4.93,3.28,13.95,14.78,0,8.21,35.3,4.93,0,7.39,2.46,11.49,204.39,1.64,1.64,82.91,612.36,10.67,5.75,15.6,0.82,0.82,46.79,0,0.82,0.82,0,70.59,204.39,0,0,55,0,16.42
 36-46,0.81,0,0.81,68.48,0.81,0,64.45,2.42,5.64,7.25,15.31,8.86,0,8.06,51.56,0,3.22,3.22,2.42,4.03,215.92,0,1.61,62.04,223.98,1.61,4.03,8.06,0,0.81,15.31,0.81,1.61,0,0.81,0,74.93,0,0.81,37.06,0.81,8.86
 48-58,0,0,0,43.04,1.15,0,29.84,1.72,14.35,10.33,18.36,4.02,0.57,8.61,44.18,1.15,1.72,2.87,1.72,4.02,166.4,0.57,5.16,49.35,86.07,2.3,2.87,2.87,0,1.15,9.18,0,0,0.57,0,0,30.99,0,0.57,22.38,0,13.2
 60-70,0,0,0,87.36,0.98,0,27.48,0,24.54,10.8,38.28,14.72,0,5.89,44.17,2.94,3.93,2.94,4.91,1.96,211.03,0.98,8.83,49.08,73.61,0,2.94,0,0,3.93,7.85,0,0,0,0,0,24.54,0,8.83,21.59,0.98,18.65
 72-82,0,0,0,127.62,0,0,51.05,1.96,21.6,27.49,64.79,7.85,0,9.82,65.77,3.93,1.96,6.87,0,4.91,359.29,4.91,15.71,78.53,89.33,0,3.93,4.91,0,5.89,9.82,0,0,1.96,0,0,12.76,2.94,6.87,48.1,8.83,15.71
 84-94,0,0,0,271.88,0,1.06,47.79,0,50.98,15.93,55.23,7.43,0,6.37,93.46,8.5,8.5,4.25,5.31,2.12,276.13,0,21.24,56.29,84.96,1.06,4.25,2.12,1.06,4.25,26.55,0,0,2.12,0,0,8.5,9.56,5.31,58.41,8.5,20.18
 96-106,0,0,0,432.77,2.19,1.09,48.09,2.19,53.55,15.3,49.18,15.3,0,18.58,133.33,10.93,5.46,6.56,3.28,2.19,410.91,2.19,24.04,75.41,120.21,0,8.74,8.74,0,15.3,34.97,0,0,1.09,0,0,2.19,4.37,17.49,64.48,4.37,24.04
108-118,0,0,0.77,612,3.06,0.77,40.6,5.36,93.45,24.51,49.02,13.79,0,6.89,109.53,13.02,12.26,4.6,0.77,5.36,451.92,3.06,23.74,77.36,103.41,2.3,8.43,5.36,0,5.36,21.45,0,0,3.06,0,0,3.06,15.32,6.89,55.15,6.13,36.77
120,0,0,0,431.15,1.96,1.96,37.24,5.88,97.99,11.76,31.36,21.56,0,1.96,101.91,5.88,9.8,9.8,3.92,3.92,356.68,9.8,7.84,76.43,101.91,3.92,5.88,15.68,0,9.8,11.76,0,0,3.92,1.96,0,0,3.92,5.88,45.08,3.92,19.6
