stage,endoderm,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,olfactory,periderm,pronephros,somites,spinal_cord
 10-12,3.15,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,8.86,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,23.53,0,0.57,0,0,1.15
 60-70,0,0,0,0.98,2.94,0,61.84,0,0,0,0,1.96
 72-82,0,0,2.94,0,0,2.94,80.5,0,0,0,0,0.98
 84-94,0,0,3.19,0,0,0,37.17,0,0,0,0,1.06
 96-106,0,0,4.37,0,1.09,0,54.64,1.09,0,0,0,0
108-118,0.77,0,2.3,0,0,0,43.66,0,0,0,0,1.53
120,0,1.96,0,0,0,0,33.32,1.96,0,0,0,0
