stage,eye,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,pericytes,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,1.61,0.81,0,0,0,0.81,0.81,3.22,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,3.93,0,0,0,0.98
 72-82,0.98,1.96,0,0,0,0.98,0,4.91,0,0,0,0
 84-94,1.06,0,1.06,0,1.06,1.06,0,2.12,0,0,0,0
 96-106,1.09,1.09,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0.77,0,0.77,0,0,2.3,0,0,0.77,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0
