stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,gut,heart,liver,mesenchyme,neural,slow.muscle,somites,vasculature
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,6.13,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,10.67
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,8.86
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0,10.9
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0,14.72
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0,36.32
 84-94,0,1.06,0,0,0,2.12,4.25,0,2.12,0,0,0,20.18
 96-106,0,2.19,0,1.09,0,5.46,1.09,0,2.19,2.19,0,0,50.27
108-118,0,0.77,0.77,0,0.77,5.36,0,0.77,0.77,0,0,0,35.23
120,0,0,0,0,0,7.84,0,0,0,0,0,0,35.28
