stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,0,5,1,0,2,3,0,0,0,0
 24-34,0.82,0,1.64,0,0.82,0,0,0,2.46,0,0,22.98,0,0.82,0,4.93,0,0,0,0
 36-46,0,0,2.42,0.81,0.81,0,0,0,0.81,0.81,0,13.7,0,0.81,0,4.03,0,0.81,0,0
 48-58,0.57,0,4.59,0.57,1.72,0,0,0,4.02,0,1.15,6.31,0,0,0,2.3,0,0,0,0.57
 60-70,0,0,6.87,0,0,0,0,0,0.98,0,0,14.72,0,0.98,0,3.93,0,0.98,0,0
 72-82,0.98,0,2.94,0,0,0,0.98,0,5.89,0,0,10.8,0,0.98,0,0.98,0.98,0,0,0
 84-94,0,0,3.19,1.06,0,0,0,0,0,0,1.06,6.37,0,1.06,0,0,0,0,1.06,0
 96-106,0,1.09,2.19,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,0.77,1.53,0,0,3.83,0,1.53,0,0,0,0,0,0
120,0,0,1.96,1.96,0,1.96,0,0,1.96,0,0,15.68,0,0,0,0,0,0,0,0
