stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,iridophores,mesenchyme,mucous,muscle,neural,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0.82,0,0,4.1,0,0.82,0,1.64,0,1.64,2.46,0.82,0.82,0.82,0,0
 36-46,0,0,1.61,28.2,0,0,0,1.61,0,1.61,4.83,0,3.22,0,3.22,0.81
 48-58,1.72,0,4.02,19.51,0.57,0,0,2.87,0,1.72,7.46,0,5.16,0,2.3,0
 60-70,0,0.98,4.91,27.48,0,0,0.98,0.98,0,1.96,6.87,0,6.87,0,0.98,0
 72-82,0,0,0,5.89,0,0,0,0,0,0.98,2.94,0,3.93,0,0,0.98
 84-94,0,1.06,0,1.06,1.06,0,0,0,0,2.12,0,1.06,1.06,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,1.09,0,1.09,0,1.09,1.09,0,0,0
108-118,0,0,0,5.36,0,0,0,1.53,0.77,0.77,0.77,0.77,5.36,0,0,0
120,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0
