stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,15.77,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,9,0,0,0,2,0,4,1,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,9.85,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,0.81,0,0,0,0,4.03,0,11.28,0,0,0,0,0.81,0,1.61,1.61
 48-58,0,0,0,0,0,2.3,0.57,0,0.57,0,0,0,0,1.72,0,8.61,0,0,0.57,0,0,0,2.3,0
 60-70,0,0,0,0,0.98,3.93,0,0.98,1.96,0,0,0,0,0.98,0.98,4.91,0,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0,1.96,0,12.76,0,0,0,0,0,0,1.96,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0,0.77,0.77,0.77,0,3.06,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
