stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,1,1,0,0,1,0,2,3,0,2,0
 24-34,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0.82,15.6,0.82,0,0,3.28,0,0.82,0,3.28,0,0,0.82
 36-46,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,12.89,0,0,0,4.03,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,3.44,0,0,1.15,0,0,0,0,0,0.57,0.57,5.74,0,0,1.15,5.74,0.57,0,0,3.44,0,0,0,3.44,0,1.15,0
 60-70,0,0,0,0,6.87,0.98,0,3.93,0,0.98,0,0.98,0,0,0,5.89,0.98,0.98,0,4.91,0,0,0,4.91,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,3.93,0,0.98,1.96,0,0,0.98,0,0,0,0.98,4.91,0,0,2.94,3.93,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,0,1.06,3.19,0,0,2.12,0,0,2.12,0,0,0,0,3.19,0,0,0,1.06,0,0,0,6.37,0,0,0,1.06,1.06,1.06,2.12
 96-106,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,2.3,0,2.3,3.83,0,0,0,0,0,0.77,0,0.77,0.77,0,2.3,0.77,0,0,1.53,0,0,0,1.53,0,0,0,0.77,0,0.77,0
120,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0,0,0
