stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,0,0,0,31.47,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1
 24-34,0,0,0.82,0,0,0,0,0,0,14.78,0,0,0,0,2.46
 36-46,0,0,1.61,0,0,0,0,0,0,13.7,0,0,0,0,1.61
 48-58,0,0,2.87,0,0,0,0.57,1.72,0,8.61,0,0,0,0,2.3
 60-70,0,0,7.85,0,0.98,0,0,0.98,0,11.78,0,0,0,0,0.98
 72-82,0,0,3.93,0,0,0,0,0,0,4.91,0,0,0,0,0
 84-94,0,1.06,4.25,1.06,0,0,0,2.12,0,7.43,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,4.37,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,0.77,0.77,3.06,0,0.77,0,0,0
120,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0
