stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,2,0,1,10,16,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,1.64,0,0,0,0,2.46,0,1.64,238.05,0,0,0,0,0,0,0,0,0.82,0,50.89,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,29,0,0,0,23.36,0,0,0,0,0,0,0,0,7.25,0,2.42,899.13,0,0,0.81,0,0,1.61,0,0,0,0,186.92,0,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,0,167.55,0,0,0,43.04,0,0,0,0,0,0,0,0.57,13.77,0,5.16,727.58,0.57,0,0,0,0,0.57,0,0.57,0,0,119.35,0,0,1.15,0,1.72
 60-70,0,0,0,0,0.98,1.96,0,794.05,0,0,0.98,57.91,0,0,0.98,0,0.98,0.98,0,0.98,23.56,0,1.96,1312.29,0.98,0,0.98,0,0.98,1.96,0,0,0,0,135.45,0,0,0,0,0.98
 72-82,0,0,0.98,0,6.87,3.93,0,784.35,0.98,0,1.96,46.14,1.96,0,0,0,1.96,1.96,0,0,26.5,0.98,6.87,981.66,0,0.98,0,0,0.98,0.98,0,0,0,0,62.83,0.98,0,2.94,0,3.93
 84-94,0,0,0,0,7.43,0,0,430.13,0,1.06,1.06,49.92,0,1.06,0,0,2.12,0,0,0,23.36,2.12,3.19,494.91,1.06,1.06,0,0,0,4.25,0,0,0,0,28.68,0,0,1.06,1.06,1.06
 96-106,0,0,1.09,0,9.84,0,0,328.95,0,0,0,36.06,2.19,0,0,0,0,2.19,1.09,0,17.49,1.09,2.19,373.75,0,1.09,0,0,0,2.19,0,1.09,0,0,13.11,0,2.19,0,0,1.09
108-118,0,0,0,1.53,7.66,0.77,1.53,273.45,0.77,0,0.77,26.81,0,0,0.77,0,0.77,0,2.3,0,15.32,0,1.53,469.54,0,0.77,0,0,0.77,0,0,0,0,0,12.26,0.77,0,0.77,0.77,1.53
120,0,0,0,1.96,15.68,1.96,0,237.13,0,0,0,17.64,3.92,0,0,0,1.96,0,0,0,19.6,0,3.92,486.03,0,0,0,0,1.96,0,0,0,1.96,0,11.76,0,1.96,0,0,0
