stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0
  7-9,2.63,0,5.26,0,0,2.63,0,0,0,0,0,55.2,2.63,28.92,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,40.91,0,34.62,0,3.15,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,1,4,1,0,0,0,1,2,1
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0.82,13.13,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,2.42,1.61,7.25,0,0,0,0,0,3.22,0.81
 48-58,0,0,0,0,0,1.72,0.57,0,0,0,0,2.87,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0.98,0.98,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,1.96,0,0,3.93,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0.77,0,2.3,0,0,0,0,0,0.77,0
