stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,6,0,7,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0.82,1.64,0,0,0.82,0,0.82,0,0,0,5.75,0.82,0,0.82,0,33.66,1.64,3.28,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0,0,0.81,6.45,0,0,0,0,20.95,0,1.61,0,0,0,0
 48-58,0,0,1.15,0,1.72,0,0,0,0,0.57,0,0,0,0.57,0,0,0.57,2.87,0,1.15,0.57,0,20.08,0,1.15,0,1.15,0,0
 60-70,0,0,2.94,0,2.94,0.98,0,0.98,0,0,0,0,1.96,0.98,0,0,0,4.91,0,0.98,0,0,13.74,0,0.98,0.98,1.96,0,0
 72-82,0,0,5.89,0,2.94,0.98,0,0.98,0,0,0,1.96,1.96,0.98,0,0,0,10.8,0,0.98,0,0,18.65,0,0.98,0,2.94,0,0
 84-94,0,0,5.31,0,6.37,0,0,2.12,3.19,0,1.06,0,0,0,0,0,0,8.5,1.06,0,0,0,42.48,0,0,3.19,1.06,0,0
 96-106,0,0,16.39,0,5.46,2.19,0,3.28,1.09,0,1.09,1.09,2.19,0,0,1.09,0,12.02,0,4.37,1.09,0,36.06,1.09,1.09,3.28,4.37,0,0
108-118,0,0,8.43,0,7.66,0.77,0.77,2.3,8.43,0,0.77,0.77,0.77,0,1.53,0,0.77,9.96,0,3.83,3.06,0,35.23,0,0,3.83,3.06,0,0.77
120,0,0,11.76,1.96,3.92,1.96,0,0,5.88,0,0,0,0,0,1.96,0,0,5.88,0,3.92,1.96,0,37.24,0,0,1.96,0,1.96,0
