stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,2,1,1,46,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,69.77,0,0.82,0,0,1.64,0,91.12,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,187.72,0,0,0,0,0,0,61.23,0,0,0,0
 48-58,0,0,0.57,0,9.75,0,0,1.72,0,0.57,0,1.15,0,0,3.44,0,228.37,0,0,0,0,0.57,0,53.36,0,0,0,0.57
 60-70,0,0,0.98,0,11.78,0,0,1.96,0,0.98,0,0,0,0,6.87,0.98,247.34,0.98,0,0,0,0.98,0,35.33,0,0,0,0.98
 72-82,0,0,0.98,0,13.74,0,0,1.96,0,0.98,0,0,0,0.98,1.96,0,227.75,0,0,0,0,1.96,0,35.34,0,0.98,0,0
 84-94,0,0,2.12,0,18.05,0,1.06,1.06,0,0,1.06,0,0,1.06,2.12,1.06,107.27,0,0,0,0,2.12,0,9.56,1.06,0,0,0
 96-106,0,0,2.19,2.19,8.74,1.09,0,3.28,0,0,0,0,0,0,6.56,1.09,90.71,1.09,0,0,0,3.28,0,8.74,0,0,1.09,0
108-118,0,0,3.83,0,6.13,0.77,0,1.53,0.77,1.53,0,0,0.77,3.06,1.53,0,117.19,0.77,0,0.77,0,3.06,0,8.43,0,0.77,0,0
120,0,0,9.8,1.96,17.64,0,0,0,0,1.96,0,0,0,0,1.96,0,164.62,1.96,0,0,0,0,0,11.76,0,0,0,0
