stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,349.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,5.26,0,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,60.46,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,18.88,0,0,3.15,0,0,0
 14-21,0,0,0,3,6,0,0,10,0,0,5,0,0,0,2,0,0,0,0,1,0,0,5,108,1,0,3,2,4,3,0,9,37,0
 24-34,0,0,0,0,0,0.82,0,9.85,0,0,8.21,0,0,0,0.82,0,0,0,0,4.1,0,0,2.46,146.93,0,0.82,0,0.82,0.82,0,0,0,52.53,0
 36-46,0,0,0,0,0.81,0,0,14.5,0,0,13.7,0,0,0,0,0,0,0,0,2.42,0,0,0,228.81,0,0,0,0,4.03,0,0,0,54.79,0.81
 48-58,0,0,0,0,0.57,0,0,41.31,0,0.57,16.07,0,0,0,0,0,0,0,0,2.3,0.57,0,0.57,177.88,0,0,1.15,0,0,0,0,0,32.13,0
 60-70,0,0,0,0,1.96,0,0,86.37,0,0.98,17.67,0,0,0,0,0,0,0,0,3.93,0.98,0,0,201.21,0,0,0,0,1.96,0,0,0,18.65,0.98
 72-82,0,0,1.96,0,0.98,0,0,98.17,0,0,10.8,1.96,0,0.98,0,0,0,0.98,0.98,2.94,0,0.98,0,132.52,0,0,0,0,0,0,0,0,12.76,0
 84-94,0,0,0,0,1.06,0,0,41.42,0,0,11.68,0,0,0,0,0,0,0,0,2.12,1.06,0,0,75.4,0,0,0,0,2.12,0,0,0,5.31,1.06
 96-106,0,0,0,0,2.19,0,0,39.34,0,0,12.02,1.09,0,3.28,0,1.09,1.09,1.09,0,3.28,0,2.19,1.09,61.2,0,0,0,0,4.37,0,0,0,4.37,1.09
108-118,0,0,0,0,2.3,0,0.77,41.36,0.77,0.77,6.13,1.53,0,2.3,0,0.77,0,0,0,6.13,0,0,1.53,78.13,0,2.3,0.77,0,5.36,0,0,0,4.6,0.77
120,0,0,0,0,1.96,0,0,13.72,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,1.96,0,33.32,0,0,1.96,0,1.96,0,0,0,1.96,0
