stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,10,0,0,313,0,0,0,0,67,0,0,0,0,0,1,0,0,0,264,3,0,6,0,2,0,4,1,1,4,18,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,206.03,0,0,1.64,0,0.82,0,0,0,1.64,0,3.28,0,0,2.46,127.23,0.82,0,29.55,0,0.82,0,0,0,0,0,10.67,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,132.13,0,0,7.25,0,0,0.81,0,0.81,1.61,0,4.03,0,0,0.81,103.13,0,0,36.26,0,0.81,0.81,0.81,0,0,0,12.09,0,0,0,0,0
 48-58,0,0,0,4.59,0,0,106.73,0,0,6.31,0,0,0,0.57,0,1.15,0.57,1.72,0,0.57,1.72,67.14,0,0,42.46,0,1.15,0,0,0,0,0,9.75,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,0,58.89,0,0,3.93,0,0,0,0,0,2.94,0,4.91,0,0,0,66.74,0.98,0,42.21,0,0,0,0,0,0,0,6.87,0,0,0,0.98,0.98
 72-82,0,0,0,17.67,0,0,65.77,0,0,24.54,0,0,1.96,0.98,11.78,6.87,0,16.69,0,0.98,0,87.37,0,0,76.57,0,2.94,0,0,0,0,0,6.87,3.93,0,3.93,0.98,0
 84-94,0,0,0,31.86,1.06,0,46.73,1.06,0,9.56,0,0,0,0,6.37,7.43,0,9.56,0,1.06,0,39.3,0,0,73.28,0,1.06,0,0,0,0,0,4.25,32.92,0,0,0,0
 96-106,0,0,1.09,60.11,1.09,1.09,43.71,3.28,0,21.86,2.19,0,0,5.46,2.19,26.23,0,8.74,1.09,1.09,1.09,39.34,0,1.09,93.98,0,5.46,0,0,0,0,0,15.3,31.69,1.09,2.19,0,0
108-118,0.77,0,0,49.79,0.77,0.77,40.6,1.53,0.77,14.55,2.3,0,0,6.13,7.66,9.96,0,13.02,1.53,0,0.77,71.23,0,0,94.98,0,1.53,0.77,0,0,0,0,5.36,32.17,1.53,0.77,0,0
120,0,0,0,29.4,0,0,25.48,0,0,5.88,1.96,0,0,1.96,1.96,5.88,0,21.56,0,1.96,0,56.83,0,0,58.79,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0
