stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0.98,0,0,0,7.85,0,14.72,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,2.12,0,55.23,0,8.5,0,1.06,1.06,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,1.09,0,5.46,1.09,0,4.37,1.09,0,1.09,0,0,151.91,0,17.49,1.09,0,2.19,26.23,0,4.37,0,0,0,0,3.28,0,2.19
108-118,0,3.06,0,0.77,7.66,0,0,2.3,0.77,0.77,0.77,0,0.77,360,0.77,18.38,0.77,0,1.53,34.47,0.77,0.77,0,0.77,0,0,1.53,0.77,0
120,0,0,0,0,1.96,0,1.96,3.92,0,0,3.92,0,0,299.85,0,15.68,0,0,1.96,29.4,0,1.96,0,0,0,0,0,0,0
