stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,500.76,7419.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0
  5-6,275.83,3150.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,6.13,0,0,6.13,0,30.65,0,0,0,0,0,0,0
  7-9,13.14,2.63,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,86.75,5.26,0,0,31.54,0,0,21.03,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,6.29,0,3.15,22.03,0,0,0,0,0,0
 14-21,0,0,0,13,3,1,0,0,1,0,0,1,0,0,0,0,1,17,0,0,2,0,0,5,11,3,17,1,2,0,0
 24-34,0,0,1.64,5.75,0,2.46,0,0,0,0,0,1.64,2.46,0,2.46,0,0,19.7,0,4.1,1.64,0,0,28.73,1.64,0,4.93,0,6.57,0,1.64
 36-46,0,0,0,0.81,0,4.03,1.61,0,0,0,0,0,0,0,2.42,0,1.61,20.14,0.81,0,0.81,0,0,16.11,3.22,0,0.81,0,3.22,0,0
 48-58,0,0,0,1.15,0,1.72,1.72,0,0.57,0,0,0,0,0.57,0.57,0.57,0.57,4.02,0,1.15,0,0,0,6.89,0.57,0,0,0,1.15,0,0
 60-70,0,0,0,4.91,0.98,24.54,1.96,0,0.98,0,0,0,1.96,0,0.98,0,0,2.94,0,0,0.98,0,0,11.78,0,0,0,0,1.96,0,0
 72-82,0,0,0,2.94,2.94,40.25,1.96,0.98,0,0,0,0,1.96,0,3.93,0,0,8.83,0.98,1.96,0,0,0,8.83,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,10.62,0,31.86,3.19,1.06,0,1.06,1.06,0,0,0,3.19,0,0,3.19,0,1.06,3.19,0,0,39.3,0,0,0,0,1.06,0,0
 96-106,0,0,0,16.39,0,13.11,6.56,0,0,0,1.09,1.09,1.09,0,2.19,0,2.19,4.37,0,1.09,3.28,0,0,17.49,2.19,0,0,0,0,0,0
108-118,0,0,0.77,13.79,1.53,10.72,16.09,0,0,0,0,0,0,0,3.06,0,0,2.3,0.77,0,0.77,0,0,17.62,1.53,0,0.77,0,1.53,1.53,0
120,0,0,0,17.64,0,7.84,5.88,0,3.92,0,0,0,0,0,1.96,0,0,13.72,0,0,0,0,1.96,21.56,1.96,0,0,0,0,0,0
