stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,342.63,6509.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,404.56,6362.56,0,12.26,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,263.57,36.78,0,0,73.56,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,220.81,223.44,0,475.8,0,2.63,0,841.19,0,0,0,0,0,328.59,0,0,0,0,0,0,0,0,0,0,0,6114.39,239.21,0,0,2313.27,0,7.89,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,204.55,0,308.4,0,31.47,0,660.86,0,0,0,0,0,188.82,0,0,0,0,0,3.15,0,0,0,0,0,4550.52,173.08,0,0,2073.85,0,3.15,18.88,18.88,223.43,0,34.62,0,0,0,0,0,0
 14-21,1,1,4,48,855,433,0,710,0,2,0,64,28,145,11,13,41,0,1,9,20,437,2,0,353,4073,142,14,63,153,0,37,4,1058,89,134,2044,1189,0,0,36,0,13
 24-34,0,0,1.64,22.16,139.55,73.88,0,796.23,10.67,4.1,4.93,59.1,9.85,21.34,6.57,21.34,45.97,10.67,13.95,13.95,14.78,464.6,10.67,2.46,187.16,2819.64,22.16,24.63,41.04,0,0.82,52.53,0,2.46,25.45,65.67,375.95,621.39,0,0,79.62,0,27.09
 36-46,0,0,0,2.42,52.37,6.45,0,635.67,13.7,1.61,8.06,74.12,8.06,4.83,6.45,8.86,12.89,13.7,3.22,12.09,7.25,319.05,1.61,5.64,103.13,1481.63,6.45,8.06,20.95,0,0,35.45,0,2.42,13.7,51.56,12.89,375.44,0,0.81,36.26,0,10.47
 48-58,1.15,0,2.3,4.02,55.66,2.87,0,828.57,13.2,5.74,21.8,152.06,27.54,14.92,5.74,23.53,9.75,14.35,9.18,32.13,6.31,461.34,5.16,21.23,146.89,1075.31,4.59,9.75,18.36,0,1.15,26.97,0,1.15,10.9,45.33,0,245.59,0,1.72,45.33,0,14.35
 60-70,0.98,0,0,0,50.06,7.85,0.98,712.58,18.65,8.83,11.78,104.04,42.21,4.91,3.93,12.76,10.8,17.67,2.94,39.26,0.98,357.27,0,20.61,67.73,647.8,2.94,4.91,9.82,0,3.93,42.21,0,0,14.72,27.48,0,83.43,0,8.83,27.48,2.94,6.87
 72-82,0,0,7.85,0,60.86,19.63,15.71,704.83,12.76,4.91,19.63,182.59,125.65,5.89,3.93,34.36,32.39,12.76,14.72,60.86,0,458.44,3.93,21.6,132.52,747.04,8.83,4.91,22.58,0,3.93,61.84,0,0,16.69,11.78,0,53.99,2.94,11.78,53.99,9.82,4.91
 84-94,0,0,4.25,2.12,129.57,39.3,30.8,569.25,15.93,12.74,20.18,92.4,218.78,6.37,6.37,49.92,50.98,20.18,6.37,149.75,3.19,346.22,4.25,24.43,111.51,443.93,9.56,3.19,21.24,0,7.43,220.9,0,0,32.92,10.62,0,29.74,4.25,5.31,54.16,13.81,5.31
 96-106,1.09,0,5.46,0,137.7,39.34,19.67,390.15,8.74,9.84,15.3,91.8,182.51,0,24.04,56.83,42.62,15.3,16.39,106.01,3.28,279.77,5.46,17.49,113.66,336.6,9.84,19.67,25.14,0,5.46,182.51,0,0,30.6,10.93,0,24.04,3.28,8.74,54.64,8.74,7.65
108-118,0,0,3.83,1.53,149.36,53.62,12.26,290.3,9.19,22.98,13.02,65.87,111.06,0,3.06,45.96,29.11,22.98,3.83,88.09,6.13,235.92,3.06,6.89,111.83,401.36,11.49,8.43,13.79,0,2.3,166.98,0,0,16.09,11.49,0,7.66,7.66,3.06,37.53,5.36,6.89
120,0,0,1.96,0,160.7,45.08,3.92,170.5,13.72,11.76,7.84,74.47,68.59,0,5.88,41.16,5.88,7.84,7.84,47.03,0,182.26,1.96,5.88,90.15,337.08,13.72,5.88,17.64,0,3.92,131.31,1.96,0,17.64,9.8,0,9.8,1.96,0,19.6,5.88,0
