stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1383.68,23008.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159.66,0,0,0,0,0,0,0,0,0,0,0
  5-6,1949.22,21582.45,0,24.52,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,619.09,67.43,0,0,177.76,0,662,0,0,0,0,0,0,0,0,0,0,0
  7-9,320.7,207.67,0,436.37,0,0,0,651.92,0,0,0,0,0,381.16,0,0,0,0,0,0,0,0,0,0,0,7305.19,341.73,0,0,2802.21,0,73.6,65.72,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,94.41,0,286.37,0,25.18,0,371.34,0,0,0,0,0,144.76,0,0,0,0,0,0,0,0,0,0,3.15,3880.21,201.41,0,0,1321.73,0,28.32,53.5,6.29,160.5,0,18.88,6.29,0,0,0,0,0
 14-21,0,0,7,29,851,102,0,98,0,15,0,33,29,13,4,14,55,1,1,6,22,147,12,0,101,1124,85,18,49,38,0,368,16,182,44,21,210,451,0,0,33,0,21
 24-34,0.82,0,9.85,10.67,485.95,31.19,0,279.91,0.82,64.03,9.03,64.03,13.95,3.28,10.67,32.01,125.59,3.28,27.09,12.31,73.06,300.43,46.79,0,133.8,2433.02,45.15,68.13,54.18,0,0,911.97,2.46,2.46,39.4,9.85,66.49,662.43,0,0,158.43,0,83.73
 36-46,0,0,4.83,1.61,231.23,28.2,0,612.31,0.81,62.84,27.39,113.6,12.89,1.61,17.72,53.17,56.4,8.86,36.26,8.06,71.7,407.67,33.03,10.47,128.91,2703.83,44.31,80.57,45.12,0,2.42,998.22,5.64,0,32.23,1.61,0.81,671.93,0,0.81,125.68,0,79.76
 48-58,0.57,0,3.44,2.87,226.65,21.23,0,996.7,2.87,90.66,30.99,216.32,10.9,12.62,22.38,36.15,26.97,16.07,30.99,4.02,41.31,595.61,33.28,15.49,114.76,2171.85,18.94,60.82,41.89,0,1.15,988.09,0.57,0,18.36,4.59,0,524.46,0,4.02,95.25,0,68.86
 60-70,0,0,9.82,0,310.16,43.19,0,1267.14,5.89,99.13,32.39,283.66,43.19,6.87,20.61,60.85,40.24,35.33,34.35,6.87,24.54,925.58,26.5,25.52,63.8,1960.1,10.8,62.82,42.21,0,9.82,797,0.98,0.98,18.65,1.96,0,295.44,6.87,14.72,100.12,8.83,49.08
 72-82,0,0,28.47,0.98,358.31,93.26,0,1084.74,6.87,83.44,45.16,348.49,107,6.87,21.6,72.64,74.61,33.38,63.81,8.83,14.72,1079.83,51.05,31.41,95.22,1828.84,15.71,106.02,72.64,0.98,7.85,775.51,0,0,21.6,1.96,0,179.64,43.19,24.54,146.27,28.47,54.97
 84-94,1.06,0,23.36,7.43,601.11,74.34,1.06,688.2,6.37,157.18,26.55,237.9,196.48,8.5,10.62,92.4,124.26,40.36,66.91,18.05,19.12,663.77,40.36,38.23,73.28,878.3,14.87,115.76,91.34,0,5.31,1829.89,0,0,52.04,3.19,0,83.9,126.38,32.92,134.88,20.18,35.05
 96-106,1.09,0,16.39,6.56,668.82,88.52,1.09,586.86,5.46,155.18,22.95,237.15,249.17,0,34.97,125.68,144.26,42.62,97.26,25.14,20.76,629.48,48.09,32.79,64.48,827.28,19.67,168.3,118.03,0,15.3,1631.62,2.19,0,28.41,1.09,0,50.27,192.34,27.32,167.21,34.97,45.9
108-118,0,0,13.79,9.19,583.66,68.94,7.66,458.81,6.13,191.49,24.51,219.07,236.68,0,7.66,113.36,134.04,55.15,71.23,21.45,26.81,508.6,45.96,19.15,61.28,1004.18,18.38,100.34,91.15,0,11.49,1238.56,1.53,0,30.64,5.36,0,31.4,193.79,17.62,139.41,18.38,35.23
120,0,0,9.8,5.88,509.54,105.83,5.88,378.24,9.8,146.98,9.8,205.78,164.62,0,15.68,145.02,80.35,27.44,52.91,29.4,15.68,419.39,29.4,23.52,62.71,1126.88,33.32,68.59,78.39,0,11.76,860.35,0,0,31.36,3.92,0,41.16,72.51,7.84,127.39,25.48,21.56
