stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,2424.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1078.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,18.39,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,21.03,0,21.03,0,0,0,63.09,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,544.14,28.92,0,0,191.9,0,10.51,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,34.62,0,3.15,0,34.62,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,490.93,84.97,0,0,173.08,0,3.15,6.29,6.29,22.03,0,0,0,0,0,0,0,0
 14-21,0,1,0,6,49,10,0,9,0,0,0,2,3,2,0,1,2,0,0,0,1,14,0,0,12,115,18,2,3,4,0,19,0,16,3,2,17,60,0,0,1,0,0
 24-34,0,0,0.82,1.64,18.88,2.46,0,29.55,0,5.75,1.64,4.93,2.46,0,3.28,0.82,2.46,0,1.64,2.46,1.64,27.09,0.82,0,21.34,212.6,5.75,2.46,2.46,0,0,65.67,0,0,1.64,0,3.28,58.28,0,0,8.21,0,0.82
 36-46,0,0,0,0,7.25,0,0,37.06,0.81,0.81,1.61,1.61,0,0,0.81,3.22,0.81,0.81,0.81,2.42,1.61,37.06,0.81,0,15.31,170,4.83,4.83,0.81,0,0,51.56,0,0,0,0,0,56.4,0,0,4.83,0,0.81
 48-58,0,0,0,0,9.18,0.57,0,79.19,0.57,0.57,3.44,20.08,1.72,0,1.15,1.15,0.57,0,0,0,1.72,59.68,2.87,1.15,9.18,182.47,1.72,1.72,1.72,0,0,27.54,0,0,0,0,0,45.33,0,0.57,3.44,0,4.02
 60-70,0,0,0.98,0,13.74,0.98,0,118.76,0.98,4.91,4.91,25.52,1.96,0,0.98,4.91,0.98,0.98,1.96,0,0.98,85.39,2.94,2.94,11.78,229.68,0,2.94,4.91,0,0.98,39.26,0,0,0.98,0,0,27.48,0,0,4.91,0.98,6.87
 72-82,0,0,1.96,0.98,18.65,8.83,0,101.11,0.98,1.96,2.94,28.47,2.94,0.98,1.96,3.93,1.96,3.93,0.98,4.91,2.94,125.65,7.85,1.96,7.85,192.41,0.98,4.91,6.87,0,0.98,31.41,0,0,0,0,0,20.61,0.98,2.94,6.87,3.93,1.96
 84-94,0,0,1.06,0,28.68,7.43,1.06,88.15,2.12,8.5,2.12,20.18,8.5,2.12,1.06,6.37,5.31,5.31,4.25,0,2.12,100.89,2.12,4.25,9.56,103.02,8.5,4.25,4.25,0,1.06,91.34,0,0,1.06,0,0,8.5,2.12,4.25,10.62,1.06,1.06
 96-106,0,0,1.09,0,26.23,6.56,0,57.92,0,3.28,1.09,24.04,18.58,0,0,7.65,4.37,2.19,10.93,1.09,0,66.66,6.56,1.09,6.56,101.63,1.09,2.19,8.74,0,2.19,68.85,0,0,1.09,1.09,0,6.56,1.09,1.09,10.93,2.19,1.09
108-118,0,0,0,0,19.92,2.3,0.77,45.96,2.3,4.6,1.53,24.51,9.19,0,0,3.83,3.83,6.89,2.3,1.53,0,47.49,1.53,3.83,8.43,108.77,0.77,4.6,3.83,0,0,58.98,0,0,3.06,2.3,0,4.6,0,1.53,6.13,1.53,3.06
120,0,0,3.92,0,27.44,7.84,0,43.12,1.96,7.84,1.96,19.6,7.84,0,0,3.92,0,1.96,7.84,0,0,33.32,1.96,1.96,7.84,72.51,1.96,5.88,0,0,1.96,41.16,0,0,0,0,0,7.84,1.96,0,1.96,1.96,0
