stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,18.88,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,2,16,12,0,3,0,2,0,13,1,0,0,0,0,0,0,0,23,0,0,12,38,1,0,0,28,0,1,0,21,0,12,52,128,0,0,0,0,0
 24-34,0,0,0,12.31,1.64,0,8.21,0,3.28,3.28,19.7,0,0,17.24,0,0.82,0,0,0,36.12,0,3.28,22.16,100.97,4.93,0.82,0,0,0.82,0.82,0,0,1.64,5.75,35.3,207.68,0,0,0,0,0
 36-46,0,0,0.81,2.42,0,0,16.11,4.03,0,5.64,21.75,0,0,12.09,0,0.81,0,0,0.81,29,0,3.22,9.67,102.32,1.61,0.81,0,0,0,2.42,0,0,0,3.22,0.81,141.8,0,0,3.22,0.81,2.42
 48-58,0,0,0,3.44,0,0,18.36,5.74,0,2.3,21.8,0,0.57,9.18,0,0.57,0,0.57,1.15,28.12,0,18.36,8.61,80.91,0.57,0,0.57,0,1.72,1.15,0,0,0.57,2.87,0,125.66,0,0.57,4.59,0.57,1.15
 60-70,0,0,0,5.89,0,0,30.43,6.87,1.96,0,21.59,0,2.94,2.94,0,0,0,0,0,27.48,0.98,17.67,6.87,99.13,0,0.98,0,0,0.98,2.94,0,0,0.98,0.98,0,58.89,0,2.94,6.87,2.94,0
 72-82,0,0,0,4.91,0,0,38.28,2.94,0,1.96,40.25,0,1.96,1.96,0,0.98,0,0,0.98,30.43,0.98,3.93,7.85,116.82,0.98,0,3.93,0,0.98,0,0,0,0.98,1.96,0,51.05,0,7.85,10.8,11.78,0
 84-94,0,0,1.06,10.62,0,0,21.24,3.19,0,3.19,15.93,0,1.06,7.43,1.06,3.19,0,0,4.25,19.12,1.06,5.31,4.25,48.85,1.06,0,2.12,0,1.06,3.19,0,0,1.06,1.06,0,45.67,0,3.19,5.31,8.5,2.12
 96-106,0,0,0,7.65,0,1.09,19.67,4.37,2.19,3.28,16.39,2.19,0,6.56,2.19,0,0,1.09,1.09,26.23,0,2.19,4.37,46.99,1.09,1.09,3.28,0,1.09,3.28,1.09,0,1.09,1.09,0,41.53,1.09,2.19,12.02,6.56,0
108-118,0,0,0,9.19,0.77,0,11.49,2.3,0.77,4.6,14.55,1.53,0,3.83,0.77,1.53,0.77,0,0.77,16.09,0,0.77,5.36,55.15,0.77,0.77,0.77,0,0.77,2.3,0,0,0,4.6,0,22.21,0,2.3,3.06,5.36,0.77
120,0,0,0,13.72,0,1.96,21.56,11.76,5.88,1.96,17.64,1.96,0,0,1.96,0,0,1.96,0,11.76,0,0,9.8,123.47,1.96,1.96,0,0,0,13.72,0,0,1.96,3.92,0,15.68,0,1.96,3.92,1.96,0
