stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1146.48,19437.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,741.69,9231.23,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.98,12.26,0,0,61.3,214.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,15.77,0,10.51,0,0,0,28.92,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,452.14,28.92,0,0,157.72,2.63,49.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,113.29,3.15,0,0,18.88,0,12.59,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,47,1,0,2,0,0,0,0,2,0,0,28,0,0,0,41,0,0,0,0,0,18,2,0,1,0,2,7,2,0,2,2,4,0,0,0,0,0
 24-34,0,0,0,1.64,7.39,0,0,2.46,0,0,0,1.64,1.64,0,0,94.4,0.82,0,0.82,58.28,0,3.28,0,0,1.64,35.3,0,0.82,0,0,1.64,0.82,0,0,0.82,1.64,10.67,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0.81,0,4.03,0,0.81,0,0,0,0,0.81,149.85,0,0,0.81,12.89,0.81,2.42,0,0,0,26.59,0,0,1.61,0,2.42,0.81,0,0,0.81,0,9.67,0,0,0,0,1.61
 48-58,0,0,0,0,0.57,0.57,0,8.61,0,0,0,2.3,0,0,0,165.83,0.57,0,0,0,0,7.46,0,0,0.57,18.94,0,0.57,0,0,0.57,0,0,0,0,0,6.89,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,8.83,0,0,0.98,1.96,0.98,0,0,195.32,0.98,0.98,0,0,0.98,3.93,0,0,0,18.65,0.98,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0,4.91,0,0
 72-82,0,0,0.98,0,2.94,1.96,0,16.69,1.96,0,0.98,6.87,5.89,0,0,278.79,0.98,0,2.94,0.98,0,9.82,0.98,0.98,0.98,23.56,0,0,0,0,1.96,0,0,0,0,0,1.96,0.98,0.98,3.93,0.98,0
 84-94,0,0,2.12,0,2.12,3.19,0,5.31,0,2.12,0,0,2.12,0,0,333.48,0,0,1.06,0,0,7.43,0,1.06,0,10.62,0,0,0,0,4.25,0,0,0,0,0,1.06,1.06,0,9.56,0,0
 96-106,0,0,1.09,0,13.11,4.37,3.28,15.3,0,0,0,6.56,6.56,0,0,431.67,2.19,0,2.19,2.19,0,16.39,3.28,0,1.09,28.41,0,5.46,1.09,0,6.56,0,0,0,1.09,0,1.09,5.46,1.09,22.95,2.19,0
108-118,0,0,0,0,9.19,4.6,0,13.02,1.53,2.3,0,4.6,6.89,0,0,352.34,1.53,0.77,1.53,2.3,0,12.26,0,0,1.53,41.36,1.53,3.06,0,0,4.6,0,0,0.77,0.77,0,0.77,1.53,0,16.85,0,0.77
120,0,0,0,0,1.96,3.92,0,7.84,1.96,0,0,5.88,1.96,0,0,491.91,1.96,0,3.92,0,0,5.88,0,0,0,23.52,1.96,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,11.76,1.96,1.96
