stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,0,57.83,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,28.92,0,0,226.07,0,28.92,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,176.23,0,3.15,0,34.62,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,978.71,220.29,0,0,358.75,0,22.03,3.15,3.15,53.5,0,6.29,0,0,0,0,0,0
 14-21,0,1,4,12,353,98,0,38,0,3,0,5,12,2,7,0,14,0,0,0,1,86,0,0,83,481,252,3,5,14,0,33,1,22,6,12,289,197,0,0,14,0,1
 24-34,0.82,0,4.1,7.39,187.98,13.13,0,151.04,0,26.27,6.57,13.13,5.75,0.82,21.34,0.82,15.6,2.46,9.03,1.64,13.13,203.57,3.28,2.46,139.55,1866.63,26.27,8.21,11.49,0,2.46,70.59,0,0.82,4.93,1.64,62.39,410.43,0,0,32.83,0,2.46
 36-46,0,0,0,0,96.68,1.61,0,401.22,0.81,25.78,23.36,21.75,3.22,0.81,16.11,0,8.06,8.06,8.86,0.81,9.67,248.95,1.61,9.67,92.65,2423.45,14.5,16.11,8.06,0,0.81,51.56,0.81,0,1.61,0.81,0,555.91,0,0.81,7.25,0,1.61
 48-58,0,0,0.57,0.57,68.28,0.57,0,508.39,0.57,27.54,42.46,36.72,2.87,10.33,13.2,0.57,2.3,9.75,7.46,0,9.18,225.51,6.31,15.49,75.17,1898.15,7.46,11.48,5.74,0,1.72,37.87,0,0,2.3,0,0.57,428.63,0,1.15,6.31,0.57,2.3
 60-70,0,0,1.96,0,76.56,1.96,0,763.62,0,34.35,43.19,41.22,4.91,3.93,12.76,0,4.91,19.63,14.72,4.91,3.93,254.21,1.96,17.67,43.19,1824.65,7.85,18.65,4.91,0,2.94,48.09,0,0,0.98,0.98,0,266.97,2.94,6.87,11.78,1.96,1.96
 72-82,0,0,4.91,0,79.51,7.85,2.94,450.58,0,30.43,64.79,48.1,13.74,4.91,6.87,1.96,5.89,22.58,13.74,1.96,8.83,307.26,6.87,39.27,41.23,1141.67,10.8,18.65,9.82,0,4.91,57.92,0,0,3.93,0,0,101.11,6.87,16.69,16.69,9.82,3.93
 84-94,0,0,6.37,0,151.87,4.25,6.37,357.91,3.19,56.29,48.85,41.42,15.93,5.31,7.43,4.25,10.62,42.48,12.74,15.93,11.68,231.52,3.19,42.48,27.61,560.76,9.56,13.81,13.81,0,2.12,175.24,0,0,8.5,0,0,54.16,7.43,6.37,18.05,10.62,0
 96-106,0,0,7.65,1.09,159.56,8.74,5.46,276.49,0,45.9,31.69,37.16,30.6,0,6.56,1.09,6.56,43.71,13.11,10.93,5.46,170.48,4.37,30.6,29.51,436.05,14.21,18.58,8.74,0,6.56,137.7,0,0,5.46,1.09,0,15.3,14.21,8.74,8.74,17.49,0
108-118,0,0,6.89,0,121.79,12.26,10.72,245.87,0,64.34,26.81,32.94,20.68,0,3.06,2.3,12.26,58.98,7.66,6.89,6.89,147.06,6.13,22.98,29.87,434.3,10.72,8.43,6.13,0,4.6,91.15,0,0,2.3,0,0,11.49,9.96,1.53,5.36,3.83,0
120,0,0,3.92,0,127.39,7.84,9.8,164.62,1.96,62.71,25.48,31.36,25.48,0,3.92,5.88,5.88,35.28,21.56,15.68,1.96,127.39,3.92,9.8,15.68,395.88,19.6,7.84,13.72,0,5.88,78.39,0,0,1.96,0,0,17.64,13.72,1.96,1.96,9.8,0
