stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1344.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1164.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,28.92,0,23.66,0,0,0,21.03,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,412.71,5.26,0,0,375.91,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,12.59,0,3.15,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,242.32,15.73,0,0,223.43,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,24,88,7,0,12,0,1,0,17,2,0,1,0,1,0,0,5,0,14,0,0,14,450,23,2,1,20,0,0,0,5,0,1,6,219,0,0,2,0,0
 24-34,0,0,0,2.46,53.36,0.82,0,58.28,0,6.57,2.46,18.88,0,0,0,0,0,0,0.82,7.39,0.82,35.3,0,0,19.7,907.05,4.1,1.64,4.93,0,0.82,0.82,0,0,0.82,0.82,4.1,270.06,0,0,18.06,0,0
 36-46,0,0,0.81,1.61,20.95,0.81,0,111.99,0,10.47,1.61,31.42,0,0,3.22,0,0.81,0,1.61,2.42,0,44.31,0,0.81,6.45,974.86,0.81,4.83,4.03,0,0,1.61,0,0,1.61,0,0,265.07,0,0,12.09,0,0.81
 48-58,0,0,0.57,0,9.75,0,0,207.72,1.72,2.87,1.72,28.69,1.15,0,0.57,0.57,0,1.15,1.15,1.15,0.57,48.2,0.57,2.87,10.9,692.01,0,2.3,6.31,0,0,1.72,0,0,0,1.15,0,191.08,0,0,9.75,0,0.57
 60-70,0,0,0.98,0,8.83,0.98,0,432.85,2.94,4.91,4.91,47.11,3.93,0,2.94,4.91,0,0.98,2.94,3.93,0.98,53,0,1.96,7.85,771.48,0.98,2.94,3.93,0,0,0.98,0,0,0.98,0,0,113.86,0,0.98,8.83,0,0.98
 72-82,0,0,0,0,12.76,2.94,0,464.33,3.93,4.91,2.94,65.77,1.96,0.98,1.96,6.87,1.96,0.98,3.93,5.89,0,65.77,0,0.98,4.91,616.48,0.98,3.93,4.91,0,0.98,0.98,0,0,0.98,0,0,69.7,0.98,0,26.5,1.96,0.98
 84-94,0,0,0,0,22.3,1.06,0,276.13,1.06,7.43,1.06,44.61,7.43,0,2.12,9.56,7.43,5.31,3.19,12.74,0,40.36,0,4.25,3.19,282.5,6.37,1.06,13.81,0,0,2.12,0,0,1.06,0,0,46.73,2.12,3.19,15.93,0,0
 96-106,1.09,0,1.09,0,12.02,1.09,2.19,290.7,0,6.56,1.09,49.18,5.46,0,2.19,15.3,3.28,3.28,7.65,10.93,0,53.55,1.09,3.28,6.56,227.31,1.09,5.46,20.76,0,2.19,3.28,0,0,0,0,0,8.74,1.09,2.19,19.67,5.46,1.09
108-118,0,0,0.77,0,20.68,0.77,0,218.3,3.83,9.19,3.06,46.72,8.43,0,0,6.89,1.53,0.77,3.83,28.34,1.53,42.13,0,0.77,3.06,278.04,0.77,2.3,16.09,0,0,0.77,0,0,1.53,2.3,0,7.66,3.06,0,22.98,1.53,2.3
120,0,0,1.96,0,25.48,1.96,1.96,164.62,3.92,3.92,1.96,43.12,25.48,0,1.96,11.76,0,0,7.84,17.64,0,52.91,3.92,0,5.88,335.12,0,1.96,11.76,0,0,1.96,0,0,0,0,0,17.64,1.96,0,17.64,1.96,0
