stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,408.52,11109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0,0,0,0
  5-6,508.76,5400.21,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,12.26,0,0,24.52,0,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,165.61,0,152.47,0,2.63,0,617.75,0,0,0,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0,4148.11,44.69,0,0,1479.97,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,191.97,0,151.05,0,15.73,0,547.57,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,3.15,4657.51,56.65,0,0,1457.05,0,3.15,3.15,6.29,179.38,0,3.15,9.44,0,0,0,0,0
 14-21,0,1,0,26,195,68,0,339,0,0,0,64,7,1,2,2,11,0,4,1,0,143,1,0,125,2979,29,7,32,98,0,61,0,188,10,1,204,894,0,0,7,0,0
 24-34,0,0,0,14.78,107.53,48.43,0,1046.59,0,1.64,4.1,73.06,4.93,1.64,6.57,12.31,11.49,9.03,5.75,9.03,0,399.76,1.64,2.46,160.07,3401.63,13.95,21.34,41.04,0,0.82,113.28,0,0,6.57,0,34.48,760.93,0,0,53.36,0,9.85
 36-46,0,0,0,0,75.73,12.09,0,1271.35,0.81,8.06,4.03,74.12,6.45,0.81,1.61,9.67,3.22,5.64,8.06,4.83,1.61,352.88,0.81,12.09,128.1,1950.53,1.61,10.47,16.92,0,0,58.81,0,0.81,3.22,0,0,451.17,0,0,30.62,0.81,7.25
 48-58,0,0,0,2.3,78.04,4.02,0,945.06,0.57,5.74,12.62,92.38,16.64,0,4.59,12.05,2.87,4.02,5.16,5.16,1.15,357.48,1.72,20.66,86.07,1053.51,5.16,6.31,12.05,0.57,0.57,28.12,0,0.57,1.15,0,0,146.32,0,0,28.69,0.57,4.59
 60-70,0,0,0.98,0,76.56,6.87,0.98,645.84,0,4.91,6.87,151.15,19.63,0,0.98,6.87,1.96,2.94,4.91,1.96,0.98,244.4,3.93,18.65,52.02,905.94,2.94,9.82,12.76,0,3.93,27.48,0,0,7.85,0,0,78.52,0,0.98,35.33,1.96,0
 72-82,0,0,0,0,68.72,17.67,1.96,336.71,0,1.96,11.78,147.25,39.27,0.98,8.83,19.63,11.78,2.94,5.89,7.85,0,295.48,0.98,19.63,78.53,737.23,4.91,4.91,19.63,0,1.96,12.76,0,0,8.83,0,0,35.34,3.93,2.94,44.17,4.91,4.91
 84-94,0,0,1.06,0,122.13,21.24,8.5,289.94,1.06,9.56,14.87,106.2,46.73,1.06,1.06,29.74,7.43,3.19,10.62,11.68,1.06,204.97,2.12,22.3,71.16,465.17,9.56,6.37,18.05,1.06,0,52.04,0,0,8.5,1.06,0,22.3,6.37,5.31,46.73,6.37,4.25
 96-106,0,0,0,0,89.61,22.95,5.46,207.64,0,7.65,5.46,114.75,40.44,0,5.46,31.69,4.37,5.46,10.93,6.56,3.28,146.44,3.28,7.65,42.62,405.45,0,15.3,15.3,0,0,59.01,0,0,6.56,0,0,16.39,5.46,3.28,32.79,2.19,2.19
108-118,0,0,0.77,0,100.34,31.4,3.06,189.96,0,13.02,6.13,106.47,28.34,0,4.6,36,5.36,6.13,6.13,9.19,1.53,132.51,1.53,3.06,55.15,464.17,4.6,9.19,16.09,0,2.3,65.11,0,0,8.43,0,0,4.6,3.06,2.3,39.83,2.3,1.53
120,0,0,1.96,0,101.91,56.83,1.96,186.18,0,3.92,5.88,121.51,25.48,0,3.92,56.83,9.8,5.88,3.92,3.92,0,154.82,3.92,1.96,54.87,486.03,3.92,3.92,5.88,0,0,27.44,0,0,5.88,0,0,13.72,7.84,0,23.52,11.76,0
