stage,axial,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,2.46,0,0.82,0,5.75,0,0,0,0.82,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,9.67,0,0,0,0,1.61,0,0,2.42
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,6.31,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,0.98,0,0.98,0,12.76,0,0,0,0,0.98,0,0,0
 72-82,0,5.89,0,1.96,0,6.87,0.98,3.93,0,0,0,0.98,0,0,0,26.5,0,0,0,0,0,3.93,0,2.94
 84-94,0,2.12,0,0,0,3.19,0,5.31,0,0,0,1.06,1.06,0,1.06,22.3,0,0,0,0,0,21.24,1.06,0
 96-106,0,1.09,0,1.09,0,3.28,1.09,7.65,0,0,1.09,2.19,0,0,0,15.3,0,0,2.19,0,0,34.97,0,0
108-118,0,1.53,0,0.77,0.77,3.83,0,6.13,0.77,0,0,3.83,0,3.06,0,21.45,0.77,0.77,0,0,0,32.94,0,0
120,0,0,0,3.92,0,5.88,0,3.92,0,0,0,3.92,0,1.96,0,25.48,0,0,0,0,0,9.8,0,0
