stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,62.94,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,27,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,133,17,4,0,2,1,0,1,67,2,9,143,2,0,0,1,0,0
 24-34,0,0,0.82,128.87,0.82,5.75,0.82,4.93,11.49,0,0,0,2.46,0,0,0.82,2.46,0,1.64,433.41,0.82,0.82,351.33,42.68,148.57,1.64,10.67,0,0,1.64,2.46,17.24,1.64,41.86,13.13,0,0,7.39,0,0.82
 36-46,0,0,0,102.32,0,6.45,0,12.89,48.34,7.25,0,0,0.81,0.81,0,0,4.83,0,0.81,754.91,0,8.86,301.32,42.7,198.19,3.22,21.75,0,0.81,0.81,0,8.06,1.61,0.81,24.17,0,0.81,4.83,0,0
 48-58,0.57,0,0,73.45,0,12.62,1.15,25.82,55.09,15.49,0,0.57,0.57,0,0,0.57,3.44,0,0,796.44,0,12.62,170.99,42.46,148.62,0,23.53,0,1.15,1.15,0,6.31,1.72,0,20.08,0,1.72,2.3,0,0.57
 60-70,2.94,0,0,76.56,0,18.65,0,34.35,68.71,10.8,0,0,0.98,0,0,0,5.89,0.98,0,968.76,1.96,21.59,139.38,37.3,103.06,0,21.59,0,0.98,2.94,0,7.85,0.98,0,6.87,0,10.8,0.98,4.91,0.98
 72-82,0,0,0,68.72,0.98,42.21,0,34.36,89.33,10.8,2.94,0,1.96,0,0,0.98,2.94,0,0,1241.8,0.98,30.43,151.18,45.16,80.5,0,26.5,0,4.91,2.94,0,16.69,0.98,0,4.91,0,14.72,5.89,6.87,0
 84-94,0,0,0,149.75,0,57.35,1.06,56.29,75.4,9.56,0,0,2.12,4.25,1.06,0,4.25,0,0,918.66,1.06,28.68,108.33,30.8,138.06,0,26.55,0,0,5.31,0,29.74,0,0,6.37,1.06,11.68,1.06,8.5,0
 96-106,0,0,0,93.98,3.28,31.69,0,40.44,62.29,9.84,0,0,2.19,4.37,3.28,1.09,2.19,2.19,0,718,1.09,19.67,78.68,51.36,111.47,4.37,38.25,0,2.19,1.09,0,19.67,0,0,12.02,0,6.56,5.46,8.74,0
108-118,0.77,0,0,81.96,2.3,20.68,0,49.02,47.49,8.43,0.77,0,0.77,2.3,1.53,0,1.53,0,0,615.07,0.77,11.49,55.15,45.19,116.43,0.77,33.7,0,0,0,0,22.21,0,0,6.89,0,3.06,2.3,11.49,0
120,0,0,0,62.71,0,15.68,0,13.72,33.32,5.88,0,0,1.96,0,1.96,0,0,5.88,0,425.27,0,13.72,60.75,52.91,115.63,0,23.52,0,1.96,0,0,9.8,0,0,3.92,0,3.92,0,1.96,0
