stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,882.92,13744.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,968.48,10677.82,0,24.52,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,177.76,12.26,0,0,67.43,0,251.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,134.06,92,0,257.61,0,0,0,239.21,0,0,0,0,0,212.93,0,0,0,0,0,0,0,0,0,0,0,2754.89,165.61,0,0,1219.72,0,2.63,21.03,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,116.44,0,213.99,0,25.18,0,220.29,0,0,0,0,0,88.12,0,0,0,0,0,3.15,0,0,0,0,3.15,2297.29,330.43,0,0,1582.93,0,0,22.03,9.44,129.03,0,56.65,9.44,0,0,0,0,0
 14-21,0,2,3,15,91,136,0,82,0,0,0,23,17,2,8,0,0,2,0,0,14,236,0,0,310,927,398,7,12,44,0,0,1,276,31,81,980,391,0,0,53,0,28
 24-34,0,0,2.46,16.42,30.37,13.95,0,211.78,50.89,8.21,13.95,48.43,7.39,0.82,32.01,0,3.28,18.06,4.1,0.82,43.51,539.3,0.82,2.46,386.62,1345.38,96.04,8.21,25.45,0,0,9.03,0,4.1,38.58,31.19,153.5,487.59,0,0,177.3,0,68.13
 36-46,0,0,1.61,0,13.7,0.81,0,298.1,82.18,4.03,24.98,77.34,0.81,0.81,28.2,0.81,0,14.5,1.61,0.81,33.84,613.92,0,13.7,232.03,950.69,41.09,6.45,11.28,0.81,0.81,8.86,1.61,0.81,16.11,32.23,2.42,373.83,0,1.61,125.68,0,36.26
 48-58,0.57,0,2.3,0,10.33,1.15,0,343.14,103.86,2.3,27.54,113.04,1.15,0,24.67,0,1.15,24.1,3.44,2.87,28.69,701.19,0.57,24.1,144.03,558.89,25.25,3.44,9.18,0,1.72,6.31,0,0.57,9.18,35.58,0,257.06,0,5.16,115.33,0.57,55.66
 60-70,0.98,0,0.98,0,15.7,0,0,251.27,89.32,4.91,31.41,144.28,4.91,0,14.72,0,2.94,43.19,2.94,3.93,15.7,792.09,0,47.11,92.26,408.31,17.67,3.93,14.72,0,14.72,5.89,0,0,8.83,39.26,0,149.19,0,26.5,91.28,16.69,32.39
 72-82,0,0,1.96,0,15.71,1.96,0.98,216.95,89.33,4.91,47.12,284.68,5.89,0.98,21.6,0,3.93,35.34,8.83,8.83,15.71,1013.08,2.94,62.83,120.74,420.15,15.71,2.94,24.54,0.98,14.72,3.93,0,0,6.87,18.65,0,75.59,0.98,39.27,213.02,63.81,36.32
 84-94,0,0,1.06,0,26.55,3.19,5.31,221.97,105.14,4.25,35.05,178.42,6.37,1.06,13.81,1.06,6.37,43.54,5.31,10.62,36.11,697.76,0,64.78,87.09,269.76,10.62,4.25,13.81,0,11.68,14.87,0,0,13.81,37.17,0,54.16,6.37,48.85,161.43,74.34,38.23
 96-106,0,0,1.09,0,27.32,13.11,6.56,192.34,144.26,4.37,24.04,241.52,13.11,1.09,17.49,2.19,8.74,67.76,9.84,21.86,36.06,550.79,1.09,45.9,81.96,288.51,15.3,4.37,26.23,0,26.23,9.84,0,0,13.11,36.06,0,36.06,2.19,32.79,178.13,87.43,39.34
108-118,0,0,3.83,0,21.45,0.77,22.21,129.45,101.87,4.6,23.74,186.89,7.66,0,13.79,1.53,6.89,75.06,6.13,20.68,40.6,477.19,3.06,31.4,72.77,274.98,15.32,6.13,22.98,0,24.51,5.36,0,0,16.85,39.06,0,24.51,5.36,39.06,136.34,49.79,43.66
120,0,0,3.92,0,29.4,1.96,11.76,103.87,80.35,1.96,19.6,186.18,11.76,0,13.72,1.96,7.84,48.99,0,19.6,17.64,374.32,1.96,39.2,84.27,231.25,9.8,5.88,9.8,0,21.56,1.96,0,0,5.88,17.64,0,35.28,1.96,23.52,125.43,68.59,17.64
