stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,22,3,11,0,2,0,8,0,1,3,0,1,0,0,0,0,9,0,0,5,143,4,3,3,0,0,0,0,12,5,3,12,106,0,0,5,0,2
 24-34,0,0,4.1,0.82,13.95,0.82,28.73,0,4.1,0.82,22.16,0,0,1.64,0,0.82,0,0,0.82,0,25.45,0,0,18.06,626.31,7.39,28.73,5.75,0,0,12.31,0,0,4.1,0,3.28,194.54,0,0,11.49,0,1.64
 36-46,0,0,0.81,0.81,7.25,1.61,75.73,0,0.81,2.42,33.84,0,0,1.61,0,0,1.61,3.22,0,5.64,62.04,1.61,1.61,14.5,1359.16,5.64,29.81,4.03,0,0,3.22,0.81,0,1.61,0.81,0,337.58,0,0,17.72,0,3.22
 48-58,0,0,0,0,8.03,1.72,189.93,0,2.3,7.46,61.97,0,0,1.72,0,2.3,1.15,1.72,1.72,4.02,84.92,1.15,0.57,11.48,1326.06,3.44,15.49,5.16,0,0.57,6.31,0,0,1.72,0,0,273.7,0,0.57,12.62,0,6.31
 60-70,0,0,2.94,0,11.78,2.94,691.97,0,4.91,11.78,110.91,0,0,1.96,1.96,1.96,1.96,0.98,0,4.91,198.27,0,3.93,17.67,1802.07,0,16.69,9.82,0,0.98,8.83,0,0,5.89,0,0,255.2,0,2.94,15.7,2.94,7.85
 72-82,0,0,5.89,0,23.56,29.45,819.69,2.94,1.96,12.76,200.26,4.91,0.98,5.89,3.93,1.96,3.93,7.85,0.98,4.91,417.21,3.93,8.83,27.49,1660.97,3.93,38.28,27.49,0,5.89,8.83,0,0,2.94,0,0,174.74,5.89,10.8,38.28,10.8,5.89
 84-94,0,0,7.43,0,39.3,20.18,553.32,1.06,18.05,16.99,122.13,9.56,1.06,5.31,3.19,3.19,11.68,6.37,0,4.25,247.45,1.06,10.62,11.68,844.32,7.43,28.68,35.05,0,2.12,29.74,1.06,0,6.37,0,0,92.4,0,5.31,23.36,13.81,5.31
 96-106,0,0,4.37,0,37.16,19.67,453.53,1.09,5.46,12.02,125.68,12.02,0,8.74,6.56,4.37,10.93,9.84,3.28,6.56,262.28,1.09,20.76,12.02,702.7,5.46,42.62,45.9,0,3.28,18.58,0,0,0,1.09,0,49.18,3.28,14.21,33.88,14.21,14.21
108-118,0,0,7.66,0,50.55,10.72,356.94,0.77,13.79,13.02,124.09,3.06,0,3.83,5.36,4.6,19.15,6.13,0.77,6.89,238.21,0.77,9.96,9.19,916.86,7.66,30.64,33.7,0,3.06,9.96,0,0,4.6,0,0,39.06,4.6,3.06,36.77,8.43,18.38
120,0,0,3.92,0,33.32,27.44,209.7,1.96,13.72,9.8,88.19,5.88,0,3.92,7.84,3.92,9.8,9.8,3.92,0,162.66,0,5.88,13.72,797.63,13.72,17.64,21.56,0,5.88,11.76,0,0,0,1.96,0,35.28,1.96,5.88,23.52,3.92,5.88
