stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,140.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,126.18,5.26,0,0,31.54,0,52.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,3.15,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,97.56,59.79,0,0,12.59,0,34.62,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,52,3,0,4,0,0,0,1,4,3,0,2,0,0,0,2,14,0,0,7,39,25,0,2,0,0,43,0,2,1,0,5,18,0,0,2,0,0
 24-34,0,0,0.82,0,18.06,0.82,0,13.13,0.82,2.46,1.64,0,2.46,0,2.46,10.67,0,4.1,0.82,4.1,28.73,5.75,0,17.24,97.68,9.03,4.1,0.82,0,0,70.59,0,0,1.64,0,3.28,26.27,0,0,9.85,0,2.46
 36-46,0,0,0,0,3.22,0,0,25.78,1.61,1.61,5.64,0,0,0,1.61,1.61,0,4.83,0,6.45,37.87,5.64,0,10.47,175.64,6.45,8.86,1.61,0,0,86.21,0.81,0,0.81,0,0,48.34,0,0,0.81,0,4.83
 48-58,0,0,0,0,2.87,0,0,47.05,2.3,7.46,14.35,0,0,0.57,0,0,0.57,2.87,1.15,1.72,64.84,4.59,0,6.89,151.48,2.3,3.44,4.59,0,0,40.74,0,0,0,0,0,17.79,0,0,1.15,0,1.72
 60-70,0,0,0,0,4.91,0,0,92.26,0.98,5.89,9.82,1.96,0,1.96,0,0,0.98,2.94,0.98,0.98,141.34,9.82,0.98,6.87,223.79,1.96,9.82,3.93,0,0.98,64.78,0,0,0.98,0.98,0,24.54,0,1.96,0.98,0,0.98
 72-82,0,0,0.98,0,4.91,1.96,0,67.73,0,12.76,9.82,5.89,0.98,0,0.98,2.94,0.98,7.85,0,0,146.27,6.87,1.96,6.87,146.27,0,8.83,5.89,0,0,27.49,0,0,0.98,0,0,5.89,2.94,1.96,3.93,0.98,0.98
 84-94,0,0,2.12,0,10.62,1.06,0,62.66,2.12,15.93,20.18,21.24,0,0,3.19,7.43,1.06,8.5,1.06,1.06,142.31,14.87,3.19,4.25,69.03,3.19,4.25,10.62,0,0,115.76,0,0,2.12,0,0,5.31,4.25,1.06,3.19,0,1.06
 96-106,0,0,0,0,21.86,0,1.09,40.44,3.28,5.46,7.65,17.49,0,0,2.19,5.46,1.09,7.65,1.09,2.19,68.85,8.74,0,7.65,57.92,1.09,8.74,7.65,0,1.09,48.09,0,0,1.09,0,0,0,4.37,0,2.19,1.09,2.19
108-118,0,0,1.53,0,17.62,3.06,0,16.85,1.53,11.49,6.89,26.04,0,0,3.06,4.6,0.77,7.66,0,1.53,34.47,5.36,0.77,1.53,65.11,0,2.3,5.36,0,0.77,35.23,0,0,0.77,0,0,0.77,3.83,0.77,4.6,0.77,3.83
120,0,0,0,0,21.56,1.96,0,13.72,3.92,5.88,9.8,17.64,0,0,3.92,1.96,1.96,3.92,0,0,23.52,5.88,0,5.88,50.95,3.92,5.88,7.84,0,0,31.36,0,0,0,0,0,1.96,1.96,0,1.96,0,0
