stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,3558.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,1832.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,34.17,0,55.2,0,0,0,134.06,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,715.01,28.92,0,0,297.04,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,40.91,0,56.65,0,0,0,110.14,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,824.51,15.73,0,0,453.16,0,0,6.29,6.29,72.38,0,28.32,0,0,0,0,0,0
 14-21,1,3,7,33,300,200,0,563,0,1,0,24,23,16,5,25,101,4,6,6,57,184,14,0,115,1937,16,14,49,73,0,11,4,413,122,311,1269,602,0,0,24,0,54
 24-34,0,0.82,9.85,27.91,197.83,31.19,0,1288.74,180.59,8.21,9.85,43.51,22.98,0.82,6.57,64.03,189.62,28.73,26.27,32.01,127.23,464.6,38.58,2.46,192.9,3587.14,9.85,59.1,83.73,0,0.82,44.33,0,8.21,115.74,247.08,586.91,812.65,0,0,74.7,0,151.86
 36-46,0,0,4.03,10.47,97.49,8.86,0,1285.04,335.96,5.64,20.95,93.46,24.17,0.81,8.06,70.09,76.54,31.42,20.95,33.84,80.57,438.28,13.7,6.45,159.52,4028.35,6.45,62.84,45.12,0,0,41.09,0.81,4.83,67.68,205.45,28.2,767,0,0,66.87,0.81,74.93
 48-58,0.57,0,5.16,6.31,134.84,9.18,0,2148.33,352.89,9.75,40.74,239.28,47.63,14.92,13.2,55.09,45.33,56.81,17.79,41.89,43.61,547.98,12.05,27.54,198.54,4312.14,2.3,38.44,41.89,0,2.3,26.4,0,0.57,42.46,169.27,0,714.96,0,1.72,79.19,0,56.81
 60-70,0.98,0,7.85,0,132.51,13.74,2.94,3082.96,270.9,15.7,53,348.44,78.52,7.85,11.78,61.84,55.95,80.48,15.7,62.82,19.63,637.01,6.87,31.41,152.14,4981.22,7.85,43.19,46.13,1.96,3.93,32.39,0,1.96,45.15,106,0,594.8,3.93,9.82,74.6,8.83,39.26
 72-82,0,0,23.56,0,153.14,58.9,36.32,2954.8,206.15,9.82,101.11,443.71,219.89,7.85,8.83,127.62,121.73,56.94,21.6,134.49,20.61,665.57,20.61,22.58,171.79,3978.68,2.94,63.81,79.51,0,5.89,66.75,0,0,80.5,59.88,0,309.22,22.58,19.63,101.11,33.38,35.34
 84-94,1.06,0,20.18,4.25,275.07,78.59,79.65,2327.99,324.98,18.05,63.72,303.74,380.21,10.62,11.68,127.44,199.66,82.84,48.85,441.81,30.8,463.05,15.93,38.23,152.93,2199.48,10.62,61.6,104.08,1.06,8.5,220.9,1.06,0,172.05,120.01,0,200.73,39.3,37.17,100.89,18.05,25.49
 96-106,0,0,26.23,3.28,348.62,84.15,72.13,1864.4,508.17,43.71,64.48,315.83,445.88,0,24.04,217.48,228.4,49.18,63.39,520.2,34.97,495.06,12.02,25.14,150.81,1945.27,6.56,98.36,143.16,0,12.02,653.52,1.09,0,177.04,116.93,0,97.26,36.06,25.14,124.58,29.51,29.51
108-118,0,0,13.02,8.43,425.11,82.72,64.34,1341.2,334.73,50.55,62.81,259.66,348.51,0,13.02,150.89,172.34,53.62,33.7,718.47,33.7,384.51,13.79,16.09,151.66,2214.4,6.13,65.87,103.41,0,16.09,410.56,0.77,0,143.24,99.58,0,56.68,30.64,10.72,101.87,15.32,21.45
120,0,0,9.8,0,346.88,80.35,37.24,983.81,170.5,39.2,74.47,248.89,184.22,0,9.8,180.3,86.23,25.48,19.6,239.09,7.84,309.65,15.68,13.72,145.02,2169.48,7.84,52.91,74.47,0,9.8,403.72,0,1.96,90.15,35.28,0,66.63,13.72,9.8,105.83,9.8,11.76
