stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,817.03,13560.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0,0,0,0,0,0,0,0
  5-6,766.2,8998.3,0,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,196.15,12.26,0,0,55.17,0,171.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,136.69,105.15,0,162.98,0,0,0,339.1,0,0,0,0,0,160.35,0,0,0,0,0,0,0,0,0,0,0,3128.17,99.89,0,0,1269.67,0,15.77,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,103.85,0,179.38,0,28.32,0,399.67,0,0,0,0,0,47.2,0,0,0,0,0,3.15,0,0,0,0,0,2618.28,113.29,0,0,1010.18,0,18.88,22.03,6.29,132.17,0,6.29,6.29,0,0,0,0,0
 14-21,0,0,2,13,224,65,0,84,0,3,0,24,15,7,2,1,4,0,0,0,6,108,0,0,88,1243,47,4,22,21,0,21,1,193,11,16,199,456,0,0,21,0,2
 24-34,0,0,1.64,5.75,100.97,14.78,0,248.72,0,8.21,4.93,49.25,3.28,0.82,7.39,3.28,17.24,5.75,5.75,4.1,9.03,197.01,5.75,0,105.07,2281.16,15.6,25.45,22.16,0,0,66.49,0,2.46,13.13,1.64,51.71,547.51,0,0,74.7,0,5.75
 36-46,0,0,0,0,24.17,12.89,0,470.51,0.81,4.83,4.83,73.32,3.22,0,2.42,6.45,3.22,2.42,4.83,5.64,4.83,199.81,1.61,2.42,68.48,2271.18,7.25,15.31,12.09,0,0,53.17,0.81,0,2.42,2.42,0.81,511.6,0,0,26.59,0,5.64
 48-58,0,0,1.15,1.15,28.12,5.16,0,751.68,2.3,8.03,12.62,145.75,1.15,1.15,4.02,6.31,4.02,8.03,4.59,1.72,5.74,264.52,2.3,9.18,49.35,1752.4,4.02,13.77,10.9,0,1.72,34.43,0,0,1.15,1.72,0,380.43,0,1.15,29.26,0.57,8.61
 60-70,0,0,1.96,0,36.32,12.76,0,963.85,2.94,4.91,6.87,130.54,7.85,1.96,2.94,11.78,5.89,7.85,6.87,1.96,2.94,293.48,1.96,5.89,28.46,1498.78,4.91,6.87,9.82,0,3.93,43.19,0,0,4.91,0,0,258.14,0,5.89,16.69,0,14.72
 72-82,0,0,3.93,0,27.49,27.49,0.98,878.59,1.96,6.87,22.58,198.3,8.83,0.98,12.76,18.65,5.89,12.76,8.83,4.91,0,456.47,3.93,10.8,43.19,1197.63,5.89,11.78,16.69,0,2.94,38.28,0,0,2.94,0.98,0,124.67,3.93,13.74,47.12,4.91,4.91
 84-94,0,0,5.31,1.06,61.6,29.74,2.12,551.2,0,14.87,13.81,138.06,15.93,1.06,3.19,30.8,13.81,7.43,9.56,4.25,3.19,261.26,4.25,19.12,31.86,571.38,7.43,6.37,12.74,0,2.12,122.13,0,0,9.56,1.06,0,58.41,4.25,3.19,41.42,15.93,6.37
 96-106,0,0,2.19,0,80.87,37.16,1.09,377.03,1.09,18.58,10.93,131.14,21.86,0,8.74,39.34,16.39,12.02,17.49,7.65,3.28,272.12,3.28,7.65,27.32,468.83,3.28,20.76,21.86,0,4.37,78.68,0,0,1.09,0,0,28.41,8.74,7.65,48.09,21.86,10.93
108-118,0,0,3.83,0,85.79,34.47,4.6,324,4.6,10.72,10.72,108,20.68,0,3.83,36,13.79,14.55,8.43,5.36,1.53,236.68,4.6,11.49,30.64,661.79,10.72,16.85,22.21,0,5.36,80.43,0,0,3.06,0.77,0,16.85,9.19,4.6,32.17,5.36,9.96
120,0,0,0,0,94.07,45.08,0,313.57,3.92,17.64,11.76,143.06,19.6,0,3.92,39.2,9.8,5.88,9.8,7.84,0,186.18,5.88,9.8,33.32,633.01,5.88,7.84,19.6,0,1.96,97.99,0,0,1.96,0,0,27.44,9.8,1.96,58.79,7.84,1.96
