stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0,1.61,5.64,0,0.81,0,0,0,0,0,0.81,0,0,3.22,0,0,0
 48-58,0,0,0.57,0,2.87,0,0.57,0.57,1.72,0,0.57,0,0,0,0,3.44,0,0,1.15,4.02,0,0.57,0,0,0,0.57,0,0,0,0,2.87,0,0,0
 60-70,0,0,1.96,0,1.96,0,0,0,7.85,0,0,0,0,0,0,5.89,0,0,0.98,8.83,0,0.98,1.96,0,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,6.87,0.98,0.98,0,8.83,0,0,0.98,0,0,0,16.69,0,0,0.98,9.82,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,2.12,0,3.19,0,0,0,3.19,1.06,0,0,0,0,1.06,12.74,0,0,0,7.43,0,0,0,0,0,3.19,0,0,1.06,0,1.06,0,0,0
 96-106,0,1.09,1.09,2.19,5.46,1.09,1.09,1.09,13.11,2.19,0,3.28,0,0,0,9.84,0,0,0,8.74,0,1.09,2.19,0,0,1.09,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,1.53,0,4.6,0.77,1.53,0,4.6,1.53,0,2.3,0.77,0,0,3.06,0,0,1.53,7.66,0,0,1.53,0,0,1.53,0,0,0,0,0,0,2.3,0
120,0,0,1.96,0,1.96,3.92,1.96,0,9.8,0,0,0,0,1.96,0,11.76,1.96,1.96,1.96,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
