stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2741.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,2010.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,30.65,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,44.69,0,44.69,0,2.63,0,168.24,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,972.62,39.43,0,0,344.36,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,0,59.79,0,6.29,0,191.97,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,3.15,1397.25,53.5,0,0,462.6,0,0,12.59,6.29,66.09,0,9.44,0,0,0,0,0,0
 14-21,1,0,2,5,201,49,0,341,0,0,0,88,4,1,1,0,0,3,0,2,14,159,0,0,112,1942,24,9,46,67,0,1,5,282,103,5,296,753,0,0,5,0,8
 24-34,0.82,0,5.75,9.03,69.77,6.57,0,274.99,0,2.46,7.39,107.53,2.46,0,0.82,0,2.46,5.75,9.85,4.93,69.77,242.15,0,0,116.56,1554.7,4.93,53.36,32.83,0,0,8.21,0,4.1,35.3,0,47.61,488.41,0,0,25.45,0,32.01
 36-46,0,0,1.61,0.81,21.75,0,0,170.8,0,2.42,8.06,73.32,3.22,0,2.42,1.61,0,3.22,4.83,3.22,74.12,174.83,1.61,1.61,49.95,808.09,4.03,65.26,17.72,0,0,4.83,2.42,0,16.92,0,0,260.23,0,0.81,13.7,0,19.34
 48-58,0,0,0.57,0.57,21.23,0,0,288.05,0,0.57,10.33,90.09,1.72,0,1.72,0,0.57,4.59,10.33,3.44,64.84,207.72,0,7.46,41.89,718.98,0.57,37.3,14.35,0,1.72,3.44,0.57,0.57,5.74,0,0,160.67,0,0.57,13.2,0,20.08
 60-70,0,0,1.96,0,14.72,0,0,514.32,0.98,0,4.91,108.95,3.93,0,1.96,2.94,1.96,1.96,14.72,3.93,46.13,235.57,0.98,3.93,26.5,736.14,2.94,37.3,24.54,0,0,2.94,0.98,0,7.85,0.98,0,104.04,0,2.94,1.96,2.94,7.85
 72-82,0,0,11.78,0,31.41,1.96,0,549.73,0.98,0,15.71,155.1,6.87,0,1.96,2.94,0.98,4.91,25.52,1.96,36.32,331.8,0.98,10.8,50.06,627.28,0,81.48,40.25,0,1.96,4.91,0.98,0,6.87,0,0,62.83,1.96,11.78,15.71,8.83,3.93
 84-94,0,0,14.87,2.12,42.48,1.06,2.12,489.6,0,3.19,13.81,91.34,18.05,0,1.06,6.37,9.56,5.31,48.85,1.06,49.92,279.32,0,14.87,44.61,372.78,1.06,81.78,65.85,0,1.06,16.99,0,0,20.18,0,0,60.54,4.25,8.5,10.62,7.43,4.25
 96-106,0,0,16.39,3.28,55.74,2.19,2.19,340.97,3.28,7.65,18.58,135.51,21.86,0,1.09,7.65,9.84,8.74,66.66,3.28,38.25,284.14,1.09,6.56,36.06,356.27,2.19,135.51,87.43,0,2.19,24.04,0,0,18.58,0,0,42.62,3.28,7.65,13.11,6.56,5.46
108-118,0.77,0,4.6,6.13,68.17,1.53,3.83,250.47,0,11.49,19.15,130.21,9.19,0,1.53,19.92,10.72,10.72,43.66,6.13,46.72,251.24,0,5.36,51.32,483.32,0.77,94.21,61.28,0,3.83,15.32,0,0,11.49,0,0,32.94,4.6,3.83,6.89,6.13,9.96
120,1.96,0,3.92,0,99.95,5.88,0,219.5,0,7.84,7.84,99.95,17.64,0,0,23.52,1.96,15.68,37.24,11.76,27.44,243.01,5.88,5.88,45.08,558.54,1.96,62.71,60.75,0,1.96,37.24,1.96,1.96,13.72,0,0,19.6,1.96,5.88,3.92,3.92,1.96
