stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,606.18,12650.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,1023.65,11217.23,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,269.7,24.52,0,0,98.07,0,183.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,144.58,178.75,0,249.73,0,0,0,559.92,0,0,0,0,0,173.5,0,0,0,0,0,0,0,0,0,0,0,5047.13,173.5,0,0,1782.27,0,7.89,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,132.17,0,232.88,0,9.44,0,418.55,0,0,0,0,0,66.09,0,0,0,0,0,3.15,0,0,0,0,0,3685.1,103.85,0,0,1277.67,0,6.29,15.73,15.73,191.97,0,18.88,0,0,0,0,0,0
 14-21,0,0,4,21,212,43,0,98,0,1,0,22,8,2,6,1,6,1,0,3,1,101,0,0,92,1205,23,8,16,38,0,20,5,152,18,6,203,436,0,0,11,0,1
 24-34,0,0,4.1,13.13,82.91,9.85,0,199.47,0,3.28,4.93,42.68,8.21,0,5.75,0,8.21,2.46,9.85,5.75,2.46,219.17,4.93,0,112.46,2224.52,12.31,31.19,27.09,0,0,77.16,0,0,14.78,3.28,45.15,543.41,0,0,55.82,0,4.1
 36-46,0,0,0.81,0,44.31,1.61,0,430.23,0.81,4.03,11.28,67.68,3.22,3.22,6.45,4.83,1.61,1.61,3.22,1.61,2.42,286.82,0.81,4.03,82.18,2645.82,4.03,20.95,16.11,0,0.81,71.7,0,0.81,5.64,0.81,0.81,601.83,0,0,29.81,0,6.45
 48-58,0.57,0,0.57,0,30.41,1.15,0,600.77,4.59,5.74,10.9,131.4,1.15,9.18,5.16,2.3,1.72,4.02,6.31,0.57,4.59,297.23,1.15,9.75,56.23,1946.92,4.59,13.2,10.33,0,0.57,45.33,0,0,6.31,0,0,431.5,0,2.3,16.64,0.57,8.03
 60-70,0,0,3.93,0,33.37,9.82,0,862.76,0.98,5.89,8.83,137.41,5.89,6.87,8.83,3.93,0.98,2.94,9.82,2.94,2.94,365.13,2.94,13.74,32.39,1784.41,2.94,8.83,17.67,0,2.94,49.08,0,0,2.94,0.98,0,257.16,0.98,2.94,18.65,1.96,4.91
 72-82,0,0,7.85,0,50.06,25.52,0,596.85,0.98,2.94,16.69,143.32,8.83,10.8,6.87,6.87,3.93,6.87,6.87,1.96,2.94,435.86,2.94,13.74,48.1,1095.53,2.94,10.8,25.52,0,2.94,46.14,0,0,1.96,0,0,89.33,2.94,7.85,33.38,15.71,8.83
 84-94,0,0,4.25,0,84.96,19.12,1.06,399.33,0,6.37,12.74,98.77,16.99,9.56,5.31,23.36,14.87,9.56,9.56,4.25,3.19,278.25,2.12,12.74,30.8,533.14,2.12,14.87,12.74,0,3.19,146.56,0,0,3.19,0,0,59.47,3.19,4.25,22.3,15.93,14.87
 96-106,0,0,4.37,0,110.38,25.14,2.19,273.21,1.09,20.76,7.65,93.98,16.39,0,7.65,22.95,8.74,6.56,14.21,3.28,2.19,267.75,7.65,10.93,34.97,442.6,4.37,17.49,20.76,0,6.56,111.47,0,0,4.37,1.09,0,20.76,5.46,6.56,39.34,10.93,6.56
108-118,0,0,0.77,0.77,155.49,21.45,3.83,217.53,3.06,27.57,19.92,73.53,19.15,0,3.83,21.45,10.72,21.45,9.19,3.83,6.13,252.77,4.6,14.55,23.74,503.24,7.66,6.89,21.45,0,3.06,103.41,0,0,4.6,2.3,0,13.79,12.26,6.13,36.77,7.66,13.02
120,1.96,0,0,0,213.62,31.36,5.88,188.14,7.84,35.28,15.68,72.51,23.52,0,5.88,37.24,21.56,13.72,13.72,9.8,5.88,211.66,3.92,21.56,31.36,501.71,13.72,9.8,17.64,0,1.96,156.78,0,0,7.84,1.96,0,17.64,5.88,1.96,45.08,7.84,7.84
