stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,105.42,1383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,7.89,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,2,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,9.03,0,0,0,2.46,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,12.09,0,0,0,2.42,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,0.57,0,4.02,0,4.02,0,0,0,0,0,0,13.77,0,0,0,0.57,0,0,0,8.61,0,0,0
 60-70,0,0,0,0,0,0,20.61,0,28.46,0,0,1.96,0,0.98,0,28.46,0,0.98,0,0,0,0,0,13.74,0,0,0
 72-82,0,0,0,0,0,0,16.69,0,52.03,0,0,0,0,1.96,0,30.43,0,0.98,0,0,0,0,0,7.85,0,0,0
 84-94,0,0,0,0,0,0,11.68,0,40.36,0,0,2.12,1.06,1.06,0,16.99,0,1.06,0,0,0,0,0,6.37,0,0,0
 96-106,0,0,0,0,0,0,4.37,0,51.36,1.09,0,3.28,1.09,0,0,19.67,0,1.09,0,0,0,0,0,3.28,0,0,1.09
108-118,0,0,0.77,0,1.53,0,5.36,1.53,43.66,0,0,0.77,0,0,0,16.85,0,0,0,0,0,1.53,0,1.53,0.77,0.77,0
120,0,0,0,0,1.96,0,5.88,0,21.56,0,0,0,0,0,1.96,13.72,0,0,0,0,0,0,0,1.96,0,0,0
