stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,30,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,3.28,3.28,0.82,0,0,0,0.82,0,0,0,17.24,1.64,0,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0.81,0,0.81,0,0,0,0,3.22,0,5.64,8.06,0,1.61,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.87,0.57,0,0.57,0,0.57,2.87,0,0,0,0,14.92,0,13.2,11.48,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,11.78,1.96,0,0,0,0,5.89,0,0,0,0,44.17,1.96,18.65,25.52,0,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,30.43,0,0.98,1.96,0,0,6.87,0,0,0,1.96,54.97,0,11.78,36.32,0,0,0,0.98,0,0,0,0,0,0.98,0,2.94,2.94,0,0.98
 84-94,0,0,1.06,0,26.55,2.12,0,1.06,0,3.19,11.68,0,2.12,0,1.06,43.54,3.19,14.87,25.49,0,0,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,2.19,0,27.32,1.09,0,2.19,0,0,19.67,3.28,0,1.09,0,42.62,2.19,17.49,19.67,0,0,0,2.19,1.09,0,1.09,1.09,0,0,1.09,1.09,3.28,0,0
108-118,0,0,1.53,0.77,24.51,2.3,0,2.3,0,0,20.68,0.77,3.83,0,0,24.51,2.3,13.02,26.81,0,0,0,2.3,0,0,0,1.53,0,0,1.53,0.77,5.36,0.77,0
120,0,0,1.96,1.96,17.64,3.92,0,0,0,0,21.56,0,0,0,0,19.6,1.96,13.72,35.28,0,0,0,1.96,0,0,0,0,0,1.96,3.92,0,5.88,0,0
