stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,0,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,1.61,0,0,0,0.81,0,0,3.22,0,0,0,1.61,0,10.47,0.81,0,0,0
 48-58,0,0,0,0,0,1.72,0,0.57,4.02,0,0,0,2.87,0,0,2.3,0,0,0,1.72,0,6.31,1.72,0,0,0
 60-70,0,0,0.98,0.98,0,4.91,0.98,0,13.74,0,0,0,1.96,0,0,3.93,0,0,0,1.96,0,7.85,0,0,0,0
 72-82,0,0,6.87,0.98,0,8.83,0,0.98,24.54,1.96,0,0,25.52,2.94,1.96,10.8,0,0,0.98,4.91,0,34.36,0,0,0,0.98
 84-94,0,0,1.06,1.06,1.06,11.68,0,0,39.3,2.12,0,1.06,36.11,2.12,0,4.25,0,0,0,5.31,0,45.67,0,0,0,0
 96-106,0,0,1.09,3.28,1.09,12.02,2.19,3.28,29.51,2.19,0,0,67.76,7.65,0,13.11,0,2.19,0,16.39,0,62.29,1.09,0,0,0
108-118,0,0,1.53,2.3,0,2.3,0,3.83,32.94,1.53,0,0.77,108.77,2.3,0,9.96,0,1.53,0,6.89,0,75.83,0,1.53,2.3,0
120,0,0,0,0,1.96,17.64,0,1.96,47.03,3.92,1.96,0,90.15,0,0,5.88,1.96,0,0,13.72,0,48.99,0,0,0,0
