stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,3,0,1,0,0,0,0,0,18,0,1,0,0,0,0,43,0,0,11,18,1,0,0,0,0,0,6,0,349,479,5,0,0,0,0,0
 24-34,0,0,0.82,13.95,0.82,0,18.06,228.2,0.82,0,7.39,1.64,12.31,0.82,0,0,0.82,3.28,0,24.63,0,0,60.74,270.88,3.28,0.82,3.28,0,0.82,13.95,0.82,2.46,252,431.77,42.68,0,0,8.21,0,1.64
 36-46,0,0,0,5.64,0,0,44.31,489.04,2.42,0.81,5.64,0.81,10.47,1.61,1.61,0,0,1.61,1.61,31.42,0,0.81,39.48,234.45,0,2.42,0.81,0,0,16.92,0,0,216.73,33.03,53.98,0,0,5.64,0,1.61
 48-58,0,0,0,4.59,0.57,0,121.07,464.78,1.72,2.3,30.41,0,6.31,0.57,0.57,0,0.57,0.57,1.72,53.94,0,1.72,37.87,306.99,2.87,2.87,2.87,0.57,1.15,8.03,0,0.57,168.7,0.57,86.07,0,1.15,5.16,0,8.03
 60-70,0,0,0,6.87,0.98,0,80.48,336.66,0,3.93,17.67,0.98,5.89,0,0.98,0,0,0.98,1.96,30.43,0,1.96,29.45,174.71,0.98,0.98,0.98,1.96,0.98,11.78,0,0.98,99.13,0,14.72,0,0.98,0,1.96,0.98
 72-82,0,0.98,0,5.89,13.74,0,72.64,260.14,0.98,2.94,14.72,2.94,3.93,1.96,0,0.98,1.96,0.98,0.98,48.1,0,0,38.28,131.54,0,2.94,0.98,0.98,0,7.85,0,0,60.86,0,8.83,0.98,1.96,4.91,1.96,7.85
 84-94,0,0,0,7.43,19.12,1.06,64.78,412.07,1.06,1.06,19.12,4.25,4.25,2.12,1.06,1.06,2.12,4.25,2.12,43.54,1.06,4.25,40.36,94.52,1.06,1.06,2.12,0,0,27.61,0,1.06,118.95,0,5.31,0,0,6.37,19.12,2.12
 96-106,0,1.09,0,16.39,27.32,0,139.88,684.12,8.74,2.19,39.34,2.19,8.74,7.65,4.37,4.37,5.46,12.02,3.28,79.78,6.56,4.37,55.74,173.76,0,10.93,6.56,0,5.46,44.81,0,0,122.4,0,10.93,3.28,8.74,13.11,14.21,5.46
108-118,0,0.77,0,19.92,8.43,2.3,82.72,536.17,5.36,0.77,22.21,3.83,6.89,6.89,3.06,1.53,1.53,7.66,4.6,53.62,2.3,0.77,76.6,163.92,0,2.3,6.13,0,2.3,23.74,0,0,106.47,0,5.36,2.3,3.06,7.66,8.43,4.6
120,0,0,0,3.92,1.96,0,37.24,327.28,0,3.92,11.76,1.96,3.92,7.84,1.96,1.96,0,0,0,33.32,0,1.96,72.51,94.07,0,1.96,1.96,0,3.92,13.72,1.96,0,35.28,0,0,0,0,1.96,7.84,0
