stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,12,1,0,0,0,0
 24-34,0,0,0,0.82,0,8.21,0,0,0,0,0,0.82,0.82,0,0,0,0,0,2.46,4.1,0,0,0,0,0,0,0,10.67,18.88,0.82,0,0,0,0
 36-46,0,0,0,0,0,33.84,0.81,0,0,1.61,0,0.81,0,0,0,0,0,2.42,2.42,12.09,0,0,0,0,0,0,0,10.47,2.42,2.42,0,0,0,0
 48-58,0,0,0,0.57,0,188.21,1.15,0,1.15,2.87,0,0,0,0,0.57,0,0,5.16,5.74,23.53,0,0.57,0.57,0.57,0,0,0,5.16,0,4.59,0,0,0,0
 60-70,0,0,0,0.98,0,648.79,4.91,0.98,0,0.98,0,0,0,0,0,0,1.96,7.85,4.91,39.26,0,0,0,0,0,0,0.98,5.89,0,15.7,0,0.98,0,0.98
 72-82,0,0,0,2.94,0,528.13,2.94,0,3.93,12.76,0,0,0,0,0.98,0,0.98,32.39,10.8,70.68,0,0,0,0,0,0,0,2.94,0,12.76,0,1.96,0.98,0.98
 84-94,0,1.06,0,2.12,0,242.14,2.12,0,3.19,14.87,0,0,2.12,1.06,1.06,0,4.25,16.99,7.43,48.85,0,0,0,0,1.06,0,0,5.31,0,5.31,0,2.12,0,2.12
 96-106,0,0,0,5.46,1.09,218.57,2.19,1.09,1.09,13.11,0,0,1.09,0,0,3.28,0,29.51,0,49.18,0,0,0,0,3.28,0,0,5.46,0,2.19,0,0,3.28,2.19
108-118,0,0,0,0,0.77,150.13,7.66,0,0,5.36,0,0,1.53,0,0,0,8.43,15.32,2.3,36,0.77,0.77,0,0,0,0.77,0,3.83,0,0.77,0.77,1.53,0.77,0.77
120,0,0,0,1.96,0,127.39,1.96,0,0,5.88,0,0,1.96,0,0,1.96,0,29.4,0,56.83,0,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,0
