stage,axial,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,1,0,0,0,0,0,0,4,0,0,2
 24-34,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0.82,9.03,0,0,1.64
 36-46,0,0,0,0,0.81,0.81,0,0.81,0,0,13.7,0.81,0,41.89,0.81,0,4.83
 48-58,0,0,0,0,2.87,2.3,0,0,0,0.57,7.46,0,0,57.38,1.15,0,5.74
 60-70,0,0,0,0,9.82,1.96,0,0,0,0,10.8,0,0,140.36,0,0,10.8
 72-82,0,0.98,0,0,14.72,4.91,0,0,0,0,6.87,0,0.98,107.98,0,0.98,4.91
 84-94,0,0,0,1.06,14.87,6.37,0,0,1.06,0,1.06,0,0,31.86,0,1.06,2.12
 96-106,0,0,0,0,6.56,3.28,0,0,0,0,2.19,0,0,51.36,0,1.09,0
108-118,0,0,0,0,9.19,4.6,0,0,0,0,3.06,0.77,0,42.13,0,0,0.77
120,0,0,0,0,5.88,7.84,0,0,0,0,0,0,0,66.63,0,0,1.96
