stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,39.43,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,176.23,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910.95,9.44,0,0,50.35,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,1995,5,0,6,0,14,0,0,0,5,0,0,11,0,2,0,0,5,6,0,0,33,1,2,1,0,0,8,4,1,0,5,4,0,0,0,0
 24-34,0,3.28,1360.98,0,0,8.21,0,102.61,0,1.64,0,0,0.82,0,0.82,0,18.06,0,0,0.82,12.31,0,1.64,86.19,0,4.1,3.28,0,0,8.21,0,0,0.82,0,9.03,0,0,1.64,0
 36-46,0,0.81,555.91,0.81,0,8.06,0.81,96.68,0,1.61,0,0,0,0,1.61,0,20.14,0,0,5.64,7.25,0,0.81,42.7,0.81,4.83,0,0,0,13.7,0,0.81,0,0,9.67,0,0.81,0,0.81
 48-58,0,0,419.45,0,0,14.35,0,121.07,0.57,2.3,0,0,0,0.57,1.15,0.57,20.08,0,1.15,3.44,3.44,0,2.3,40.17,0,2.3,1.72,0,0.57,4.02,0,0,0,0,7.46,0,0,1.15,1.15
 60-70,0,0,313.11,0,0,8.83,0,55.95,0.98,2.94,0.98,0,0,0,1.96,0,15.7,0,0,4.91,2.94,0,0.98,20.61,0.98,0.98,0.98,0,0,1.96,0,0,0,0,2.94,0.98,0,0,0
 72-82,0,0,369.1,0,0,4.91,0,82.46,0,5.89,3.93,0.98,0.98,0,11.78,0,23.56,0,0,2.94,0.98,0.98,0,7.85,0,5.89,0.98,0,0,1.96,0,0,0,0,0.98,5.89,0.98,1.96,0.98
 84-94,1.06,0,518.27,0,0,8.5,1.06,100.89,1.06,2.12,2.12,0,0,0,12.74,1.06,22.3,1.06,0,5.31,2.12,0,2.12,5.31,0,5.31,1.06,0,0,4.25,0,0,0,0,1.06,15.93,0,0,0
 96-106,0,0,391.24,1.09,1.09,5.46,0,60.11,0,2.19,17.49,0,0,1.09,12.02,0,30.6,0,0,1.09,1.09,2.19,0,19.67,0,8.74,1.09,0,0,4.37,0,0,0,0,0,4.37,1.09,0,0
108-118,0.77,0,376.09,0,0,4.6,0,82.72,0.77,3.06,14.55,0,0,0.77,19.15,0,26.04,0,0,2.3,1.53,0,0.77,14.55,0,6.89,1.53,0,0,3.06,0,2.3,0,0,0.77,14.55,0,0.77,0
120,0,0,244.97,1.96,0,5.88,0,64.67,0,0,7.84,0,0,0,7.84,0,7.84,0,0,1.96,3.92,0,0,17.64,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0
