stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,764.32,13230.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,668.13,10469.42,0,30.65,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,306.48,30.65,0,0,91.94,0,668.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,254.99,160.35,0,294.42,0,0,0,383.79,0,0,0,0,0,162.98,0,0,0,0,0,0,0,0,0,0,0,4597.62,433.74,0,0,2760.15,0,115.66,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,113.29,0,242.32,0,25.18,0,267.49,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,3313.76,365.05,0,0,1784.33,0,50.35,18.88,12.59,144.76,0,44.06,6.29,0,0,0,0,0
 14-21,1,0,0,31,745,65,0,68,0,2,0,14,26,4,13,0,30,0,0,0,7,111,3,0,78,864,287,5,9,151,0,385,1,222,28,22,411,299,0,0,9,0,1
 24-34,0,0,0,16.42,313.57,3.28,0,124.77,2.46,38.58,5.75,32.83,9.03,0,13.13,2.46,37.76,4.1,8.21,2.46,13.95,165.81,15.6,1.64,66.49,1296.13,148.57,29.55,13.95,0,1.64,528.63,0.82,0.82,19.7,9.85,49.25,303.72,0,0,29.55,0,2.46
 36-46,0,0,0,1.61,125.68,0.81,0,208.67,9.67,32.23,3.22,51.56,5.64,0,21.75,0.81,13.7,2.42,8.86,4.83,18.53,201.42,8.06,3.22,52.37,1593.61,111.18,28.2,7.25,0,0.81,451.98,0.81,0,12.09,7.25,3.22,346.44,0,1.61,22.56,0,4.83
 48-58,0,0.57,0.57,1.15,71.73,1.72,0,265.1,6.31,28.69,6.89,80.91,4.02,1.72,12.05,1.15,6.31,3.44,3.44,3.44,14.92,253.05,3.44,10.33,29.84,1134.41,42.46,14.35,5.74,0,1.15,245.01,0,0,8.61,7.46,0,243.29,0,5.16,23.53,0.57,5.74
 60-70,0.98,0,0,0,118.76,0.98,0,366.11,9.82,41.22,8.83,107.97,11.78,0,12.76,3.93,8.83,3.93,3.93,2.94,8.83,376.9,5.89,27.48,23.56,1155.25,32.39,21.59,5.89,0,5.89,265.99,0,0,8.83,7.85,0,183.54,3.93,16.69,18.65,0.98,2.94
 72-82,0,0,1.96,0,165.9,0.98,0,303.33,5.89,41.23,13.74,116.82,17.67,2.94,16.69,0,19.63,3.93,6.87,6.87,10.8,562.49,4.91,27.49,29.45,754.9,29.45,40.25,9.82,0,8.83,332.78,0,0,4.91,0.98,0,117.8,4.91,37.3,43.19,16.69,5.89
 84-94,1.06,0,2.12,0,259.14,0,1.06,218.78,6.37,77.53,15.93,104.08,29.74,2.12,8.5,4.25,33.99,9.56,5.31,15.93,21.24,454.55,8.5,20.18,19.12,432.25,42.48,25.49,4.25,0,3.19,837.95,0,0,12.74,6.37,0,72.22,12.74,39.3,47.79,14.87,9.56
 96-106,0,0,2.19,0,314.74,6.56,4.37,172.67,13.11,71.04,19.67,100.54,39.34,0,18.58,8.74,56.83,5.46,13.11,22.95,27.32,360.64,27.32,30.6,20.76,354.08,49.18,53.55,13.11,0,15.3,750.79,0,0,21.86,5.46,0,46.99,15.3,52.46,50.27,17.49,7.65
108-118,0,0,0.77,0.77,291.83,4.6,6.13,164.68,25.28,94.21,14.55,111.83,32.17,0,7.66,6.89,51.32,13.02,6.89,29.87,22.21,295.66,16.85,22.21,24.51,496.34,58.98,33.7,9.96,0,9.96,574.47,0,0,19.15,3.06,0,28.34,14.55,39.06,48.26,15.32,9.19
120,0,0,0,1.96,282.21,3.92,0,107.79,11.76,107.79,9.8,74.47,27.44,0,5.88,7.84,29.4,9.8,7.84,7.84,7.84,244.97,5.88,23.52,33.32,393.92,64.67,25.48,9.8,0,17.64,386.08,0,0,9.8,5.88,0,33.32,7.84,33.32,29.4,25.48,7.84
