stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.18,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,320.99,0,0,0,169.94,0,6.29,0,0,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,426,15,0,53,0,29,0,7,11,1,0,0,7,3,0,0,10,104,4,0,41,352,5,0,13,118,0,251,0,73,2,3,68,241,0,0,2,0,7
 24-34,0,0,0.82,0.82,344.76,1.64,0,83.73,0.82,132.16,30.37,33.66,6.57,0.82,1.64,0.82,13.13,3.28,8.21,1.64,21.34,279.09,15.6,0,109.17,481.02,4.1,3.28,47.61,0,0,471.17,0,0,0.82,5.75,77.16,125.59,0,0,7.39,0,14.78
 36-46,0,0,0,0,165.97,1.61,0,45.12,0.81,125.68,84.6,13.7,4.83,0,0,1.61,4.03,2.42,9.67,0.81,15.31,321.46,10.47,2.42,95.07,242.51,1.61,1.61,29,0,0,588.94,0,0,0,4.83,0,48.34,0,0,3.22,0,16.92
 48-58,1.15,0,0,0,99.27,0.57,0,51.07,0.57,185.34,96.97,20.66,1.72,1.15,0,0.57,0.57,1.72,4.59,0,20.08,292.64,9.75,0.57,34.43,144.03,0,0.57,15.49,0,0,457.9,0,0,0,2.87,0,24.1,0,0,2.3,0,17.21
 60-70,0.98,0,0,0,97.17,0.98,0,32.39,3.93,166.86,110.91,19.63,0.98,0,0,0.98,6.87,0.98,6.87,0.98,14.72,239.49,4.91,2.94,22.58,88.34,0,2.94,4.91,0,0,317.03,0,0,0.98,0.98,0,5.89,1.96,0,0.98,0,13.74
 72-82,0,0,0,0,137.43,2.94,0,51.05,0,156.08,180.63,41.23,6.87,0,0.98,1.96,6.87,0,14.72,0,27.49,274.87,6.87,0,29.45,69.7,0,2.94,10.8,0,0.98,276.83,0,0,0,0,0,2.94,0,0,0.98,0.98,15.71
 84-94,0,0,1.06,0,245.33,2.12,1.06,64.78,0,305.87,133.82,19.12,7.43,0,0,1.06,15.93,2.12,10.62,0,26.55,192.23,11.68,2.12,18.05,49.92,0,0,13.81,0,1.06,785.91,1.06,0,2.12,0,0,5.31,1.06,1.06,0,3.19,20.18
 96-106,0,0,0,1.09,322.39,2.19,0,64.48,1.09,328.95,125.68,30.6,8.74,0,0,2.19,12.02,2.19,14.21,2.19,24.04,205.46,13.11,1.09,13.11,69.94,1.09,12.02,25.14,0,2.19,714.72,0,0,0,1.09,0,0,2.19,0,6.56,2.19,30.6
108-118,0,0,0,0,310.22,3.83,0,52.09,0.77,418.22,128.68,26.81,10.72,0,0,1.53,17.62,1.53,7.66,2.3,29.87,198.38,16.09,0.77,16.85,72,0.77,6.13,22.98,0,0.77,913.79,0,0,0,0,0,4.6,1.53,0.77,1.53,0,21.45
120,0,0,0,1.96,231.25,1.96,0,37.24,0,252.81,133.27,21.56,1.96,0,0,3.92,5.88,0,7.84,3.92,7.84,166.58,3.92,3.92,13.72,48.99,0,1.96,17.64,0,0,458.59,0,0,0,0,0,1.96,1.96,0,0,1.96,15.68
