stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,711.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,13.14,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,123.55,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,12.59,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,34,3,0,1,0,2,0,3,1,0,0,1,1,1,0,0,14,11,0,0,25,26,4,0,0,3,0,1,0,5,0,219,473,127,0,0,1,0,0
 24-34,0,0,0,0.82,17.24,1.64,0,5.75,5.75,19.7,25.45,4.93,0,0,0,0,0,0,0,0,11.49,82.09,0,0,68.13,49.25,0,0,3.28,0,0.82,3.28,0,0.82,0,52.53,132.16,226.56,0,0,13.95,0,2.46
 36-46,0,0,0.81,0,4.83,0,0,8.86,4.83,29,90.23,4.03,0,0,6.45,0,0,0,0.81,0,1.61,177.25,0,0.81,87.82,47.53,0,0,0,0,0,0.81,0,0,0.81,12.89,4.83,311.79,0,0,16.11,0,0
 48-58,0,0,0,0,2.3,0,0,14.92,2.87,29.26,109.6,5.16,0.57,0.57,9.75,0,0,0,0,0,0,254.2,0,0,53.36,41.89,0,0,0.57,0,0,1.15,0,0,0,3.44,0,162.39,0,0,1.15,0,0.57
 60-70,0,0,0,0,6.87,0,0,16.69,1.96,26.5,109.93,12.76,0,0,15.7,0,0,0,0,0.98,0,324.88,0,1.96,48.09,40.24,0,0,1.96,0,1.96,0,0,0,0,0,0,52.02,0.98,0,0,0,0.98
 72-82,0,0,0,0,8.83,0,0,36.32,3.93,21.6,146.27,31.41,0.98,0,10.8,0.98,0,0.98,1.96,0,0,376.96,0,1.96,48.1,38.28,0,0,0.98,0,0,5.89,0,0,0,1.96,0,12.76,1.96,2.94,0.98,2.94,0.98
 84-94,0,0,0,0,11.68,1.06,1.06,48.85,3.19,32.92,118.95,22.3,3.19,0,4.25,2.12,0,2.12,0,0,0,258.08,0,2.12,41.42,22.3,0,2.12,2.12,0,2.12,0,0,0,0,2.12,0,6.37,13.81,3.19,0,0,0
 96-106,0,0,0,0,13.11,0,1.09,25.14,1.09,6.56,87.43,12.02,2.19,0,7.65,1.09,1.09,0,1.09,1.09,0,248.08,0,2.19,32.79,29.51,0,0,0,0,5.46,4.37,0,0,0,0,0,2.19,13.11,0,2.19,0,0
108-118,0,0,0,0.77,8.43,2.3,0,11.49,0,26.04,93.45,6.89,1.53,0,2.3,1.53,0.77,0.77,0,0,0,232.85,0.77,3.06,18.38,25.28,0,0,2.3,0,2.3,0,0,0,0,1.53,0,2.3,13.79,0.77,2.3,0.77,0
120,0,0,0,0,3.92,0,1.96,11.76,0,7.84,78.39,11.76,0,0,3.92,0,0,0,1.96,1.96,0,235.17,0,3.92,17.64,41.16,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,1.96,0,0,0
