stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,3413.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,239.06,2764.47,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,18.39,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,34.17,0,70.98,0,2.63,0,86.75,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,822.79,47.32,0,0,297.04,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,78.67,0,6.29,0,122.73,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,1243.05,53.5,0,0,497.22,0,3.15,12.59,0,53.5,0,9.44,0,0,0,0,0,0
 14-21,0,1,7,36,557,95,0,137,0,4,0,26,26,14,8,3,15,0,4,0,3,139,3,0,131,1348,151,12,35,53,0,85,10,147,14,17,304,627,0,0,18,0,9
 24-34,0.82,0,8.21,13.13,207.68,56.64,0,233.12,0,30.37,4.93,62.39,7.39,1.64,13.13,14.78,44.33,0.82,8.21,4.1,21.34,295.51,9.85,0.82,135.44,2917.32,47.61,46.79,35.3,0,0,261.85,1.64,0.82,17.24,5.75,52.53,823.32,0,0,82.09,0,32.83
 36-46,0,0,1.61,0,82.18,42.7,0,466.48,4.83,19.34,16.92,129.71,4.83,0,9.67,24.98,18.53,4.03,10.47,3.22,24.98,273.93,8.86,6.45,88.62,4062.99,28.2,62.84,22.56,0,1.61,265.07,2.42,0,12.09,5.64,2.42,1003.06,0,1.61,62.04,0,41.89
 48-58,0.57,0,1.15,1.15,84.92,70.58,0,930.14,8.61,24.1,24.67,245.01,2.87,0.57,10.9,20.66,8.03,5.74,15.49,1.72,19.51,394.2,9.75,11.48,89.51,3604.64,14.35,44.18,22.38,0.57,1.15,217.47,0,0,12.05,8.03,0,777.51,0,2.3,51.64,0,70.58
 60-70,2.94,0,4.91,0,106,58.89,0,1557.68,9.82,33.37,21.59,283.66,15.7,2.94,9.82,35.33,13.74,20.61,15.7,7.85,12.76,546.71,9.82,26.5,53.98,4120.43,17.67,37.3,27.48,0,3.93,229.68,0,0,9.82,5.89,0,595.78,1.96,8.83,39.26,1.96,61.84
 72-82,0,0,19.63,0,136.45,112.89,0,1406.72,11.78,29.45,29.45,320.02,35.34,2.94,11.78,46.14,24.54,18.65,24.54,3.93,10.8,646.92,10.8,27.49,53.99,3184.51,9.82,64.79,57.92,0,4.91,221.86,0.98,0,8.83,8.83,0,268.98,15.71,17.67,84.42,17.67,53.99
 84-94,0,0,16.99,1.06,264.45,92.4,4.25,1087.53,8.5,54.16,26.55,244.27,66.91,3.19,8.5,89.21,33.99,45.67,36.11,14.87,13.81,434.37,19.12,28.68,46.73,1758.73,18.05,63.72,64.78,0,6.37,591.55,0,0,20.18,5.31,0,175.24,56.29,20.18,75.4,25.49,42.48
 96-106,0,0,12.02,2.19,234.96,74.31,6.56,811.99,13.11,30.6,17.49,230.59,81.96,0,8.74,89.61,41.53,31.69,32.79,4.37,15.3,356.27,16.39,19.67,34.97,1340.92,16.39,81.96,61.2,0,5.46,481.95,2.19,0,15.3,12.02,0,87.43,60.11,14.21,86.33,27.32,41.53
108-118,0,0,7.66,0.77,219.83,50.55,18.38,579.83,9.19,51.32,10.72,193.79,75.83,0,7.66,77.36,41.36,37.53,22.98,8.43,22.21,245.11,19.92,9.19,35.23,1477.54,13.02,60.51,52.85,0,9.96,364.6,1.53,0,19.15,11.49,0,49.79,81.96,9.19,52.85,11.49,22.98
120,1.96,0,13.72,1.96,246.93,64.67,5.88,554.62,9.8,56.83,15.68,184.22,76.43,0,15.68,94.07,21.56,13.72,27.44,11.76,11.76,229.29,9.8,15.68,48.99,1812.8,17.64,41.16,33.32,0,5.88,350.8,0,0,21.56,3.92,0,84.27,33.32,9.8,45.08,9.8,19.6
