stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,342.63,6233.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,521.02,6049.95,0,12.26,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,122.59,6.13,0,0,61.3,0,116.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,128.81,0,149.84,0,0,0,465.28,0,0,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,3364.75,123.55,0,0,1419.51,0,2.63,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,163.64,0,254.9,0,31.47,0,582.19,0,0,0,0,0,91.26,0,0,0,0,0,3.15,0,0,0,0,0,4043.86,154.2,0,0,1929.09,0,0,18.88,6.29,176.23,0,15.73,12.59,0,0,0,0,0
 14-21,0,0,1,36,331,131,0,239,0,1,0,67,19,7,15,0,0,0,0,0,5,381,1,0,331,2376,173,10,15,73,0,4,6,293,22,145,618,773,0,0,32,0,2
 24-34,0.82,0,1.64,9.85,120.67,18.06,0,461.32,0.82,4.1,11.49,79.62,7.39,1.64,42.68,0,0,5.75,4.93,3.28,14.78,847.94,0.82,1.64,362.82,2814.72,87.83,15.6,39.4,0,2.46,9.03,0.82,3.28,22.16,14.78,79.62,767.5,0,0,143.65,0,24.63
 36-46,0,0,0,0.81,38.67,1.61,0,763.77,1.61,2.42,23.36,155.49,0.81,0,42.7,0,0,6.45,4.83,4.83,8.86,1067.51,0,16.11,294.07,2371.08,53.98,9.67,37.06,0,3.22,6.45,4.03,0.81,18.53,4.83,2.42,729.94,0,1.61,130.52,0,21.75
 48-58,0,0,0.57,0,22.95,1.72,0,989.24,2.87,2.3,37.3,220.34,1.15,1.15,33.85,1.15,0.57,11.48,5.16,2.87,10.9,1295.08,0.57,36.15,256.49,1561.9,30.41,4.59,45.33,0,4.59,5.16,0,0,5.74,5.74,0,478.55,0,4.02,106.73,0,26.97
 60-70,0.98,0,1.96,0,21.59,2.94,0,969.74,6.87,5.89,31.41,276.79,2.94,1.96,20.61,2.94,1.96,28.46,4.91,1.96,7.85,1320.15,0,37.3,159.99,1259.29,18.65,5.89,39.26,0.98,7.85,4.91,0,0.98,10.8,11.78,0,254.21,0,12.76,81.47,6.87,19.63
 72-82,0,0,2.94,0.98,25.52,6.87,0.98,762.75,8.83,2.94,79.51,275.85,8.83,0,21.6,2.94,2.94,29.45,2.94,4.91,3.93,1462.68,0,61.84,190.44,1069.03,10.8,7.85,62.83,0.98,6.87,3.93,1.96,0,5.89,7.85,0,101.11,0.98,48.1,115.84,21.6,17.67
 84-94,0,0,3.19,1.06,35.05,15.93,1.06,571.38,19.12,11.68,45.67,181.61,7.43,1.06,23.36,4.25,3.19,52.04,5.31,12.74,14.87,953.71,0,60.54,157.18,614.92,27.61,8.5,62.66,0,6.37,5.31,0,0,19.12,5.31,0,80.71,0,44.61,103.02,23.36,9.56
 96-106,0,0,5.46,3.28,29.51,16.39,3.28,456.81,12.02,2.19,38.25,191.25,2.19,0,33.88,5.46,4.37,55.74,6.56,15.3,7.65,758.44,4.37,32.79,114.75,523.47,15.3,15.3,81.96,0,13.11,9.84,1.09,0,16.39,4.37,0,54.64,2.19,33.88,102.73,20.76,9.84
108-118,0,0,3.06,0.77,18.38,14.55,6.13,327.83,14.55,3.83,26.81,142.47,6.89,0,16.09,1.53,3.83,63.57,1.53,26.04,3.06,651.83,0.77,33.7,121.79,574.47,22.21,3.83,75.06,0,5.36,3.83,1.53,0,21.45,5.36,0,29.87,1.53,37.53,81.19,10.72,20.68
120,1.96,0,1.96,0,15.68,29.4,1.96,315.53,7.84,7.84,35.28,139.14,13.72,0,9.8,1.96,1.96,39.2,3.92,9.8,3.92,507.58,0,23.52,109.75,576.18,19.6,3.92,54.87,0,1.96,0,0,0,9.8,1.96,0,35.28,0,19.6,72.51,15.68,0
