stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,2885.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,232.93,2108.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,24.52,0,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.07,7.89,0,0,139.32,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.73,6.29,0,0,110.14,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,388,1,0,0,0,3,0,0,3,0,0,0,2,0,0,2,0,2,2,0,0,15,1,0,2,1,0,17,0,2,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,605.79,0.82,0,3.28,0,32.01,0,0,2.46,0,0,0,1.64,5.75,0.82,0.82,0,1.64,18.06,0,2.46,30.37,2.46,4.1,0,0,0,12.31,0,0,0,0,2.46,7.39,0,0,2.46,0,0
 36-46,0,0,0,0.81,259.43,0,0,1.61,0,43.51,0.81,1.61,3.22,0,0.81,0,2.42,11.28,1.61,0,0,5.64,17.72,0,1.61,30.62,0,5.64,0,0,0,9.67,0.81,0,0,0,0,0.81,0,0,1.61,0,0.81
 48-58,0,0,0,0,180.75,0,0,7.46,0,48.2,2.3,0.57,1.15,0,0.57,0,1.15,28.12,2.87,0,0.57,2.3,19.51,0.57,1.15,20.66,0.57,4.02,1.72,0,0,0.57,0,0,0,0.57,0,3.44,0,0,1.72,0,0
 60-70,0,0,0,0,171.77,0,0,2.94,0,65.76,0,2.94,17.67,0.98,1.96,0.98,4.91,80.48,0,0,0,17.67,17.67,0,1.96,13.74,0,7.85,0.98,0,0,3.93,0,0,0.98,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,0,0,176.7,0.98,0,9.82,1.96,53.99,0,2.94,43.19,0.98,1.96,0.98,8.83,66.75,3.93,1.96,0,61.84,42.21,1.96,1.96,21.6,1.96,8.83,0.98,0,0,1.96,0,0,0,0,0,0.98,4.91,0,4.91,2.94,0
 84-94,0,0,1.06,0,345.16,0,0,6.37,0,77.53,1.06,1.06,122.13,0,3.19,0,8.5,96.65,3.19,0,0,38.23,38.23,4.25,2.12,12.74,1.06,28.68,1.06,0,0,4.25,1.06,0,0,0,0,1.06,21.24,1.06,4.25,1.06,0
 96-106,0,0,2.19,0,255.73,2.19,0,12.02,0,62.29,0,0,185.78,0,5.46,0,10.93,81.96,3.28,0,0,45.9,56.83,7.65,2.19,21.86,3.28,28.41,2.19,0,0,3.28,0,0,0,0,0,2.19,14.21,0,5.46,4.37,2.19
108-118,0,0,0,0,335.49,0,0.77,9.96,0,101.87,0,2.3,235.15,0,3.06,1.53,10.72,100.34,4.6,0,0,52.85,32.17,5.36,3.06,19.92,1.53,24.51,2.3,0,0.77,6.13,0,0,0,0,0,0.77,25.28,0,2.3,0.77,0
120,0,0,0,0,235.17,1.96,0,1.96,0,39.2,0,3.92,94.07,0,1.96,1.96,5.88,52.91,0,0,0,41.16,37.24,9.8,1.96,23.52,3.92,11.76,0,0,0,1.96,0,0,0,0,0,0,11.76,0,1.96,3.92,0
