stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,2,10,68,16,0,38,0,0,0,8,5,0,2,0,2,0,2,0,0,28,0,0,29,340,0,1,2,5,0,16,0,47,3,2,82,136,0,0,5,0,1
 24-34,0,0,0.82,4.93,26.27,2.46,0,85.37,0,3.28,1.64,17.24,1.64,0.82,2.46,0,5.75,1.64,2.46,1.64,2.46,88.65,0.82,0,50.07,813.47,9.03,8.21,7.39,0.82,0,46.79,0,0,3.28,1.64,15.6,182.23,0,0,27.91,0,0
 36-46,0,0,0,0,13.7,2.42,0,145.83,0.81,3.22,4.03,33.84,0.81,0,1.61,2.42,0.81,1.61,1.61,0,1.61,93.46,1.61,1.61,31.42,855.62,9.67,6.45,10.47,0,0,46.73,0.81,0,1.61,2.42,0,156.3,0,0,19.34,0,1.61
 48-58,0,0,1.15,0,10.9,0,0,222.06,0,2.3,4.02,56.23,0.57,0.57,1.72,0,1.72,1.72,1.72,1.15,2.87,124.52,1.15,2.87,26.97,695.45,2.3,4.59,5.16,0,0.57,20.66,0,0,0,0.57,0,141.16,0,0,18.36,0,4.02
 60-70,0,0,0,0,14.72,0,0,322.92,0.98,2.94,4.91,66.74,1.96,0,0,4.91,0.98,3.93,0,0.98,0.98,152.14,0.98,6.87,13.74,720.44,2.94,1.96,2.94,0,2.94,37.3,0,0,0,0,0,97.17,0,2.94,6.87,1.96,4.91
 72-82,0,0,0.98,0,16.69,5.89,0,255.23,0.98,0.98,7.85,73.62,8.83,0.98,0.98,3.93,2.94,10.8,4.91,1.96,0,215.97,0.98,4.91,19.63,557.58,0,6.87,6.87,0,0.98,33.38,0,0,1.96,0.98,0,41.23,0.98,5.89,20.61,3.93,1.96
 84-94,0,0,3.19,0,26.55,4.25,1.06,189.04,3.19,6.37,7.43,60.54,8.5,1.06,0,5.31,9.56,7.43,2.12,0,3.19,127.44,2.12,9.56,16.99,276.13,1.06,4.25,5.31,0,1.06,105.14,0,0,7.43,0,0,32.92,4.25,3.19,12.74,7.43,3.19
 96-106,0,0,0,0,22.95,3.28,0,143.16,1.09,3.28,7.65,48.09,10.93,0,3.28,14.21,4.37,6.56,4.37,0,2.19,92.89,1.09,2.19,7.65,227.31,3.28,8.74,12.02,0,2.19,84.15,0,0,1.09,0,0,9.84,4.37,5.46,14.21,3.28,4.37
108-118,0,0,2.3,0.77,25.28,3.06,3.83,122.55,1.53,7.66,5.36,42.13,13.02,0,0.77,10.72,3.83,7.66,1.53,0.77,3.06,100.34,3.06,4.6,18.38,245.87,0.77,4.6,9.96,0,0.77,65.11,0,0,2.3,0,0,6.89,1.53,2.3,19.92,3.06,3.83
120,0,0,0,1.96,35.28,13.72,0,121.51,3.92,7.84,5.88,54.87,13.72,0,1.96,19.6,9.8,9.8,1.96,7.84,5.88,84.27,0,3.92,11.76,266.53,3.92,9.8,7.84,0,5.88,74.47,1.96,0,7.84,0,0,11.76,3.92,3.92,17.64,1.96,0
