stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,4954.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,275.83,2120.85,0,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,73.56,18.39,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,73.6,44.69,0,120.92,0,2.63,0,165.61,0,0,0,0,0,134.06,0,0,0,0,0,0,0,0,0,0,0,1545.68,81.49,0,0,591.46,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.09,0,75.53,0,12.59,0,182.52,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,1497.96,84.97,0,0,566.45,0,6.29,15.73,3.15,47.2,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,2,8,154,56,0,39,0,0,0,21,6,2,5,0,7,0,0,0,2,53,0,0,39,618,20,3,20,18,0,21,3,58,11,38,105,279,0,0,18,0,1
 24-34,0,0,0.82,0.82,48.43,4.93,0,117.38,0.82,2.46,2.46,21.34,3.28,0.82,5.75,2.46,12.31,0.82,2.46,4.1,5.75,122.31,0.82,0,55.82,1136.06,8.21,12.31,7.39,0,0,90.29,0,0.82,1.64,9.85,22.98,290.58,0,0,53.36,0,5.75
 36-46,0,0,0.81,0,17.72,1.61,0,234.45,5.64,5.64,4.83,49.95,0,0,4.03,2.42,6.45,0.81,4.03,2.42,2.42,138.58,0,3.22,37.06,1444.57,5.64,11.28,4.03,0,0,75.73,0,0.81,2.42,8.86,0,386.72,0,0.81,39.48,0,7.25
 48-58,0,0,0,0,18.94,1.72,0,417.73,2.3,6.31,10.9,101.56,1.15,11.48,4.02,2.3,4.59,2.87,2.87,0.57,4.02,226.08,5.74,9.18,35.58,1292.78,4.02,10.9,3.44,0,1.72,58.53,0,0,1.72,6.89,0,250.75,0,0.57,27.54,0,4.59
 60-70,0,0,0,0,27.48,1.96,0,540.82,6.87,10.8,9.82,107.97,0.98,7.85,5.89,8.83,2.94,8.83,0.98,3.93,2.94,248.33,1.96,12.76,24.54,1419.28,2.94,7.85,2.94,0,2.94,56.93,0,0,0.98,5.89,0,169.8,0,1.96,26.5,4.91,3.93
 72-82,0,0,2.94,0,36.32,9.82,0,438.8,2.94,6.87,8.83,118.78,5.89,3.93,6.87,2.94,4.91,4.91,6.87,2.94,1.96,277.81,5.89,16.69,22.58,979.7,0.98,11.78,14.72,0,1.96,52.03,0,0,1.96,3.93,0,73.62,2.94,5.89,44.17,7.85,6.87
 84-94,0,0,2.12,0,54.16,11.68,1.06,292.06,4.25,5.31,12.74,79.65,11.68,6.37,1.06,20.18,14.87,8.5,6.37,0,3.19,173.11,3.19,13.81,19.12,486.41,3.19,8.5,18.05,0,3.19,138.06,0,0,0,2.12,0,38.23,6.37,7.43,35.05,6.37,5.31
 96-106,0,0,2.19,0,48.09,6.56,1.09,206.55,4.37,7.65,5.46,57.92,15.3,0,6.56,30.6,24.04,0,6.56,1.09,2.19,135.51,6.56,7.65,16.39,362.83,3.28,13.11,10.93,0,1.09,93.98,0,0,0,7.65,0,26.23,1.09,5.46,33.88,13.11,7.65
108-118,0,0,0.77,0,62.04,6.89,3.83,155.49,1.53,8.43,5.36,52.09,9.19,0,1.53,14.55,13.79,5.36,6.13,3.83,0.77,117.19,0.77,4.6,12.26,448.09,2.3,6.89,13.79,0,1.53,88.85,0,0,1.53,2.3,0,6.13,3.06,6.89,28.34,9.19,8.43
120,0,0,1.96,0,48.99,11.76,3.92,129.35,3.92,9.8,9.8,60.75,15.68,0,0,29.4,7.84,5.88,5.88,1.96,0,88.19,1.96,11.76,17.64,452.71,1.96,9.8,11.76,0,0,64.67,0,0,3.92,1.96,0,9.8,0,11.76,15.68,1.96,5.88
