stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,4928.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,355.52,3849.41,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,36.78,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,15.77,0,23.66,0,0,0,36.8,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,423.22,10.51,0,0,186.64,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,0,0,31.47,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,346.17,15.73,0,0,232.88,0,0,6.29,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,10,80,20,0,25,0,0,0,6,3,1,0,0,6,0,0,3,3,27,1,0,20,278,8,1,11,12,0,15,4,70,5,0,52,94,0,0,4,0,0
 24-34,0,0,2.46,2.46,22.16,3.28,0,36.12,0,3.28,0.82,5.75,1.64,0,0.82,2.46,4.93,0,1.64,1.64,4.93,49.25,3.28,0.82,15.6,343.94,9.03,5.75,7.39,0,0,21.34,0,0,0.82,2.46,15.6,81.26,0,0,13.95,0,3.28
 36-46,0,0,0.81,0.81,9.67,0.81,0,71.7,0,3.22,2.42,17.72,1.61,0,0,3.22,0,0.81,2.42,0.81,2.42,54.79,0.81,0,13.7,314.21,0.81,3.22,4.83,0,0,22.56,0.81,0,1.61,0,0,98.29,0,0.81,8.86,0,1.61
 48-58,0,0,0.57,0,9.75,0.57,0,115.91,0.57,1.15,5.16,29.26,0.57,1.15,1.72,0.57,1.15,2.3,5.16,1.72,0.57,52.22,0.57,2.87,7.46,243.87,2.3,4.02,4.59,0,0,12.62,0.57,0,0.57,0,0,64.27,0,0,8.03,0,4.02
 60-70,0,0,0,0,6.87,1.96,0,155.08,0,4.91,6.87,38.28,3.93,0,0.98,2.94,0.98,0,1.96,1.96,0.98,85.39,2.94,3.93,7.85,196.3,1.96,0.98,6.87,0.98,0,14.72,0,0,0,0,0,47.11,0.98,0.98,8.83,0,4.91
 72-82,0,0,6.87,0,16.69,4.91,0,129.58,1.96,2.94,8.83,51.05,4.91,0,0.98,10.8,3.93,1.96,6.87,2.94,1.96,106.02,4.91,3.93,16.69,203.2,2.94,0.98,6.87,0,0.98,21.6,0.98,0,1.96,0,0,34.36,1.96,0.98,13.74,5.89,3.93
 84-94,0,0,1.06,0,22.3,3.19,0,87.09,1.06,8.5,2.12,35.05,8.5,1.06,1.06,7.43,4.25,8.5,3.19,3.19,2.12,67.97,3.19,3.19,7.43,125.32,1.06,0,5.31,0,0,76.47,0,0,2.12,0,0,10.62,4.25,3.19,10.62,7.43,7.43
 96-106,0,0,2.19,0,36.06,5.46,0,63.39,0,4.37,6.56,34.97,14.21,0,5.46,10.93,0,5.46,4.37,1.09,0,96.17,6.56,6.56,6.56,123.49,4.37,4.37,6.56,0,2.19,75.41,0,0,1.09,0,0,4.37,4.37,5.46,10.93,3.28,4.37
108-118,0,0,0,0,35.23,4.6,0.77,55.15,0,9.19,5.36,36,9.19,0.77,1.53,14.55,3.83,9.19,1.53,0.77,3.06,60.51,3.83,1.53,8.43,126.38,1.53,2.3,13.02,0,2.3,57.45,0.77,0,3.83,0,0,6.89,1.53,0,12.26,0.77,4.6
120,0,0,0,0,43.12,7.84,0,35.28,0,7.84,1.96,27.44,7.84,0,0,29.4,1.96,3.92,0,1.96,1.96,48.99,1.96,1.96,11.76,125.43,5.88,0,9.8,0,1.96,56.83,0,0,0,3.92,0,9.8,0,3.92,15.68,1.96,0
