stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,527.12,9158.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,422.94,5418.6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.98,0,0,0,49.04,0,153.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,7.89,0,42.06,0,0,0,7.89,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,520.49,21.03,0,0,178.75,0,31.54,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,6.29,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,525.54,9.44,0,0,18.88,0,37.76,6.29,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,355,8,0,2,0,5,0,0,8,1,3,6,12,0,1,0,1,18,3,0,8,21,9,3,1,0,0,276,0,4,0,7,4,7,0,0,8,0,3
 24-34,0,0,0,1.64,265.96,2.46,0,14.78,0,31.19,1.64,1.64,0.82,0.82,6.57,22.16,22.16,0,6.57,2.46,12.31,38.58,13.95,0,13.95,100.14,4.93,7.39,8.21,0,0,544.23,0,0.82,9.03,3.28,3.28,19.7,0,0,42.68,0,12.31
 36-46,0,0,0,0.81,108.77,2.42,0,16.11,0,32.23,0.81,5.64,3.22,0,3.22,42.7,12.89,3.22,5.64,1.61,17.72,34.64,7.25,0.81,8.06,87.01,4.03,3.22,4.83,0,0,474.54,0.81,0,4.03,0,0,13.7,0,0,28.2,0,7.25
 48-58,0,0,0.57,0,81.48,1.15,0,24.1,0.57,39.02,3.44,16.64,4.59,1.72,3.44,57.38,5.74,2.87,4.59,1.72,18.94,64.84,9.18,3.44,13.2,68.86,1.72,5.74,6.89,0,0,402.24,0,0,1.72,0.57,0,20.08,0,0.57,28.12,0.57,18.36
 60-70,0.98,0,0,0.98,84.41,0.98,0,31.41,0,33.37,3.93,33.37,10.8,0.98,1.96,44.17,6.87,3.93,3.93,0.98,8.83,77.54,6.87,2.94,5.89,34.35,2.94,4.91,5.89,0,0.98,307.22,0,0,6.87,0,0,9.82,1.96,1.96,25.52,0,12.76
 72-82,0,0,8.83,0.98,127.62,2.94,0,45.16,0.98,37.3,6.87,66.75,26.5,1.96,1.96,101.11,22.58,6.87,8.83,3.93,5.89,159.03,11.78,3.93,14.72,53.01,2.94,4.91,6.87,0,0,298.43,0,0,4.91,0.98,0,5.89,18.65,3.93,43.19,4.91,10.8
 84-94,0,0,4.25,0,207.1,3.19,0,41.42,0,63.72,2.12,25.49,42.48,1.06,4.25,101.96,36.11,16.99,5.31,5.31,16.99,104.08,12.74,6.37,11.68,33.99,3.19,10.62,9.56,0,0,663.77,0,0,11.68,0,0,3.19,52.04,2.12,31.86,2.12,9.56
 96-106,0,0,3.28,0,206.55,4.37,2.19,38.25,5.46,44.81,7.65,36.06,61.2,0,4.37,138.79,31.69,8.74,13.11,2.19,6.56,88.52,15.3,3.28,4.37,61.2,2.19,8.74,15.3,0,3.28,492.87,0,0,13.11,0,0,4.37,73.22,2.19,33.88,3.28,5.46
108-118,0,0,2.3,2.3,219.83,1.53,6.89,30.64,1.53,78.89,2.3,26.81,63.57,0,0.77,117.96,29.11,10.72,14.55,7.66,16.09,71.23,9.19,4.6,6.89,39.06,5.36,11.49,9.96,0,2.3,433.54,0,0,2.3,0,0,3.83,77.36,2.3,27.57,1.53,9.96
120,0,0,1.96,0,201.86,9.8,0,21.56,1.96,41.16,5.88,33.32,43.12,0,1.96,121.51,27.44,7.84,5.88,13.72,7.84,52.91,13.72,0,9.8,31.36,3.92,7.84,11.76,0,1.96,321.4,0,0,5.88,0,0,3.92,23.52,5.88,25.48,7.84,9.8
