stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,15.77,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,15.73,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.38,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,33,3,0,9,0,1,0,6,6,0,1,0,3,0,0,0,0,11,0,0,4,86,0,1,6,2,0,6,2,16,0,5,39,0,0,0,0,0
 24-34,0,0,0,0.82,18.88,0.82,0,28.73,0,2.46,1.64,9.85,0.82,0,4.1,0.82,4.93,0,0,0,1.64,22.16,2.46,0,15.6,108.35,0.82,3.28,9.03,0,0,21.34,0,24.63,0,1.64,45.15,0,0,5.75,0,0.82
 36-46,0,0,0,0,6.45,0,0,21.75,0,1.61,1.61,17.72,2.42,0,2.42,0,1.61,0,0.81,0.81,1.61,44.31,0,0,11.28,74.93,2.42,5.64,5.64,0,0,21.75,0,11.28,0,0,33.84,0,0,1.61,0,0
 48-58,0,0,0,0,6.31,0,0,66.56,0,1.72,1.72,20.08,2.3,0.57,1.15,0,1.72,0,0,1.15,0,47.63,2.3,2.87,3.44,55.66,0.57,2.87,8.61,0.57,0.57,16.07,0,6.89,0,0,24.1,0,0,2.87,0,1.72
 60-70,0,0,0.98,0,5.89,1.96,0,126.62,0.98,0,2.94,44.17,1.96,0,0,0,0.98,0,1.96,0,0.98,40.24,1.96,0,5.89,48.09,0,1.96,1.96,0,0,15.7,0,9.82,0.98,0,17.67,0,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,7.85,5.89,0,139.4,0,1.96,1.96,36.32,11.78,0,1.96,1.96,11.78,0,1.96,3.93,0.98,81.48,5.89,5.89,8.83,47.12,0,7.85,18.65,0,2.94,3.93,0,10.8,0,0,11.78,0.98,2.94,7.85,7.85,3.93
 84-94,0,0,1.06,0,9.56,5.31,0,144.44,1.06,3.19,2.12,30.8,22.3,1.06,3.19,2.12,14.87,5.31,0,3.19,5.31,40.36,9.56,11.68,4.25,36.11,1.06,8.5,18.05,0,1.06,31.86,0,21.24,1.06,0,4.25,0,6.37,4.25,3.19,1.06
 96-106,0,0,0,0,14.21,9.84,0,114.75,0,5.46,1.09,31.69,21.86,0,4.37,2.19,12.02,2.19,2.19,3.28,1.09,45.9,6.56,5.46,4.37,26.23,0,15.3,16.39,0,0,24.04,0,18.58,0,0,3.28,2.19,4.37,4.37,2.19,4.37
108-118,0,0,1.53,0.77,13.79,3.83,9.19,104.94,0,3.83,0,21.45,43.66,0,3.06,2.3,13.79,4.6,3.06,6.89,2.3,40.6,3.83,1.53,0.77,27.57,0,6.89,22.21,0,0.77,19.15,0,21.45,1.53,0,3.83,1.53,0,4.6,1.53,0.77
120,0,0,0,0,17.64,3.92,0,62.71,0,5.88,0,25.48,35.28,0,0,7.84,11.76,1.96,1.96,3.92,3.92,23.52,5.88,5.88,1.96,33.32,0,9.8,15.68,0,0,11.76,0,23.52,0,0,7.84,1.96,0,11.76,1.96,0
