stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,49.95,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,9.44,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,324.14,0,0,0,94.41,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,96,22,0,22,0,0,0,5,7,2,0,1,5,0,0,2,0,29,0,0,21,206,7,1,6,11,0,15,4,47,5,1,74,85,0,0,0,0,1
 24-34,0,0,0.82,1.64,26.27,2.46,0,29.55,0,4.1,0.82,9.03,1.64,0.82,1.64,1.64,9.03,0.82,2.46,3.28,0.82,32.01,2.46,0,18.06,246.26,4.1,4.1,3.28,0,0,50.07,0,0,2.46,0,15.6,67.31,0,0,5.75,0,1.64
 36-46,0,0,0,0,8.06,0.81,0,32.23,0,2.42,2.42,18.53,0.81,0,4.83,4.83,2.42,0.81,4.03,2.42,0.81,44.31,2.42,1.61,13.7,250.56,1.61,4.03,3.22,0,0.81,32.23,1.61,0,3.22,0.81,0,63.65,0,0,2.42,0,1.61
 48-58,0,0,0,0.57,7.46,0,0,45.9,0,1.15,2.3,26.97,1.15,0,1.72,2.3,1.15,1.15,2.3,0.57,1.15,67.14,2.3,1.72,12.05,177.88,1.72,2.87,5.16,0,0,17.21,0,0,2.3,0.57,0,52.22,0,0.57,4.59,0.57,1.72
 60-70,0,0,1.96,0,10.8,1.96,0,80.48,0.98,3.93,1.96,60.85,6.87,0.98,0,6.87,1.96,0.98,2.94,6.87,1.96,82.45,0,2.94,10.8,206.12,2.94,2.94,4.91,0,0,26.5,0,0,1.96,0,0,38.28,0.98,2.94,2.94,0,3.93
 72-82,0,0,1.96,0.98,17.67,6.87,0,62.83,1.96,3.93,5.89,97.18,10.8,0,2.94,18.65,6.87,5.89,1.96,5.89,1.96,162.96,5.89,2.94,19.63,200.26,0.98,9.82,6.87,0,0,38.28,0,0,5.89,0,0,20.61,2.94,4.91,15.71,5.89,2.94
 84-94,0,0,7.43,0,43.54,6.37,2.12,66.91,2.12,10.62,8.5,64.78,26.55,0,2.12,16.99,12.74,6.37,4.25,8.5,2.12,112.58,7.43,12.74,14.87,118.95,1.06,7.43,7.43,0,0,117.89,0,0,5.31,1.06,0,26.55,11.68,2.12,12.74,5.31,4.25
 96-106,0,0,5.46,0,49.18,10.93,1.09,80.87,1.09,8.74,7.65,87.43,31.69,0,9.84,26.23,10.93,7.65,9.84,15.3,1.09,97.26,3.28,8.74,19.67,142.07,2.19,4.37,15.3,0,3.28,103.82,0,0,8.74,0,0,14.21,14.21,2.19,20.76,3.28,5.46
108-118,0,0,0.77,0,62.81,8.43,0.77,62.04,1.53,13.79,6.89,85.79,36.77,0,1.53,28.34,9.19,6.89,5.36,13.02,1.53,104.94,5.36,6.13,26.04,165.45,3.83,3.06,5.36,0,1.53,106.47,1.53,0,11.49,0.77,0,9.19,8.43,2.3,18.38,1.53,5.36
120,0,0,0,0,70.55,15.68,3.92,54.87,1.96,17.64,0,58.79,37.24,0,3.92,23.52,11.76,9.8,5.88,19.6,1.96,62.71,5.88,3.92,23.52,139.14,3.92,1.96,13.72,0,5.88,76.43,0,0,5.88,0,0,1.96,7.84,1.96,9.8,3.92,1.96
