stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,0,18.4,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,107.78,13.14,0,0,70.98,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,201.41,3.15,0,0,84.97,0,0,3.15,3.15,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,20,6,0,7,0,1,0,5,2,0,0,0,4,0,0,0,0,9,0,0,5,78,2,0,1,3,0,15,0,17,3,0,14,40,0,0,0,0,1
 24-34,0,0,1.64,0.82,18.06,2.46,0,19.7,0,2.46,0.82,5.75,0.82,0,2.46,0.82,5.75,0,1.64,0.82,0.82,26.27,0.82,0,12.31,217.53,0,3.28,3.28,0,0,57.46,0,0,4.1,0,4.93,44.33,0,0,9.85,0,0
 36-46,0,0,0.81,0.81,4.03,0,0,24.98,0,1.61,0.81,1.61,0.81,0,0,0,2.42,0,2.42,0.81,0.81,24.98,0,0,9.67,223.17,2.42,6.45,4.03,0,0,33.84,0,0,2.42,1.61,0,48.34,0,0,7.25,0,0.81
 48-58,0,0,0,0,6.89,0,0,76.89,0,1.72,1.15,13.77,1.72,0,1.15,2.87,0.57,0.57,0.57,0,2.3,43.61,2.3,2.87,8.61,201.98,0.57,4.02,1.72,0,0,24.67,0,0,0,1.72,0,52.79,0,0.57,13.77,0,2.87
 60-70,0,0,0,0,9.82,0.98,0,135.45,0,5.89,0,26.5,1.96,0.98,0,3.93,0,0.98,2.94,0,0.98,52.02,0,0.98,3.93,194.34,0,1.96,2.94,0,0,25.52,0,0,1.96,0,0,20.61,0,0.98,9.82,0.98,2.94
 72-82,0,0,0,0,8.83,4.91,0,179.64,0,1.96,2.94,24.54,2.94,0,0.98,2.94,1.96,0,0.98,0.98,2.94,70.68,1.96,4.91,8.83,232.65,1.96,4.91,3.93,0,0,28.47,0,0,0.98,0,0,26.5,0.98,2.94,14.72,1.96,2.94
 84-94,0,0,2.12,0,30.8,2.12,0,122.13,0,1.06,4.25,22.3,9.56,1.06,0,12.74,7.43,3.19,3.19,0,1.06,52.04,4.25,1.06,4.25,142.31,2.12,1.06,6.37,0,0,94.52,0,0,0,0,0,13.81,1.06,5.31,7.43,2.12,3.19
 96-106,0,0,0,0,21.86,5.46,1.09,96.17,0,4.37,5.46,19.67,8.74,0,2.19,10.93,8.74,2.19,2.19,1.09,0,43.71,1.09,3.28,3.28,109.28,4.37,6.56,10.93,0,0,84.15,0,0,1.09,1.09,0,4.37,0,1.09,10.93,1.09,1.09
108-118,0,0,0,0,26.04,1.53,3.06,82.72,0.77,6.13,1.53,29.87,8.43,0,0,5.36,9.19,5.36,1.53,1.53,1.53,28.34,4.6,3.06,5.36,124.09,0,3.83,6.13,0,2.3,36.77,0,0,3.83,0.77,0,6.13,3.06,0,9.96,3.06,3.83
120,0,0,1.96,0,27.44,1.96,0,86.23,1.96,5.88,1.96,25.48,5.88,0,0,15.68,3.92,3.92,5.88,1.96,0,29.4,1.96,0,5.88,139.14,0,1.96,15.68,0,3.92,43.12,0,0,3.92,0,0,1.96,0,1.96,0,3.92,1.96
