stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,619.36,11622.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,490.37,6534.19,0,24.52,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,159.37,12.26,0,0,91.94,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,115.66,136.69,0,257.61,0,0,0,391.68,0,0,0,0,0,147.21,0,0,0,0,0,0,0,0,0,0,0,3393.67,155.09,0,0,1201.32,0,2.63,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,154.2,0,258.05,0,31.47,0,365.05,0,0,0,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,3.15,3820.42,119.58,0,0,1372.08,0,18.88,28.32,3.15,173.08,0,28.32,12.59,0,0,0,0,0
 14-21,0,0,0,7,70,15,0,29,0,0,0,6,2,0,3,0,1,0,0,0,2,31,0,0,23,358,9,2,4,11,0,21,1,65,4,2,70,127,0,0,2,0,2
 24-34,0,0,0,3.28,27.09,1.64,0,64.03,0,1.64,0.82,13.95,2.46,0,0.82,0,4.93,0.82,4.1,0.82,0.82,66.49,1.64,0,23.8,645.19,3.28,6.57,9.03,0,0,89.47,0,0,1.64,0.82,16.42,137.08,0,0,14.78,0,1.64
 36-46,0,0,0,0.81,11.28,2.42,0,157.91,1.61,2.42,2.42,29,0,0,0,2.42,1.61,0,1.61,4.03,1.61,91.04,1.61,0,20.14,833.06,3.22,4.03,5.64,0,0,65.26,0,0,0,0,0,216.73,0,0,8.06,0,2.42
 48-58,0,0,0,0.57,17.21,1.15,0,239.28,1.15,4.59,4.02,53.94,1.72,1.15,2.3,3.44,1.15,0.57,2.3,0,2.3,118.78,1.15,2.87,20.08,515.85,1.72,8.61,5.16,0,0,36.15,0,0,0,0.57,0,122.79,0,0.57,8.03,0,3.44
 60-70,0,0,1.96,0,28.46,1.96,0,355.31,2.94,2.94,2.94,61.84,5.89,0.98,1.96,4.91,0,0.98,1.96,1.96,1.96,145.27,0,1.96,25.52,519.23,2.94,2.94,2.94,0,0.98,52.02,0,0,1.96,0,0,68.71,0,1.96,5.89,0,2.94
 72-82,0,0,0.98,0,19.63,4.91,0,199.28,1.96,3.93,5.89,49.08,13.74,0,0.98,13.74,1.96,3.93,0.98,0,0,109.95,1.96,5.89,14.72,252.29,0,9.82,3.93,0,2.94,48.1,0,0,0.98,0,0,21.6,2.94,0.98,11.78,3.93,0.98
 84-94,0,0,0,1.06,26.55,6.37,1.06,146.56,3.19,8.5,4.25,24.43,9.56,0,1.06,12.74,5.31,3.19,2.12,4.25,2.12,101.96,2.12,4.25,18.05,150.81,2.12,3.19,2.12,0,0,120.01,1.06,0,3.19,1.06,0,20.18,0,3.19,13.81,0,0
 96-106,0,0,0,0,36.06,3.28,0,87.43,0,5.46,2.19,24.04,5.46,0,0,12.02,0,1.09,3.28,0,1.09,76.5,1.09,1.09,8.74,103.82,3.28,8.74,8.74,0,0,92.89,0,0,3.28,0,0,2.19,3.28,2.19,15.3,4.37,2.19
108-118,0,0,0.77,0,32.94,3.83,4.6,68.17,1.53,10.72,3.83,16.09,12.26,0,0.77,16.09,4.6,1.53,3.06,0.77,0.77,45.19,3.06,2.3,9.96,108.77,2.3,3.83,4.6,0,1.53,83.49,0,0,3.83,3.06,0,4.6,0.77,0.77,9.96,1.53,1.53
120,0,0,0,0,50.95,13.72,0,70.55,1.96,7.84,5.88,27.44,7.84,0,0,23.52,1.96,5.88,1.96,0,1.96,62.71,0,0,17.64,164.62,0,7.84,9.8,0,0,90.15,0,0,1.96,0,0,1.96,3.92,3.92,13.72,0,0
