stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,47.2,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,22,3,0,7,0,0,0,3,1,0,7,0,0,0,0,0,1,30,0,0,35,30,9,1,4,17,0,5,16,0,147,163,26,0,0,2,0,0
 24-34,0,0,0,0,36.94,0.82,0,11.49,77.16,4.1,1.64,6.57,1.64,0,13.13,0,0,0,3.28,0,1.64,83.73,0,0.82,89.47,105.07,33.66,2.46,12.31,0,0,12.31,0,0,153.5,107.53,36.12,0,0,13.95,0,0.82
 36-46,0,0,0,0,20.95,0,0,14.5,167.58,0.81,1.61,23.36,2.42,0.81,7.25,1.61,0.81,0,4.03,0.81,0.81,132.13,0.81,1.61,71.7,127.3,17.72,0.81,11.28,0,0,12.89,0,0,134.55,6.45,44.31,0,1.61,7.25,0,4.03
 48-58,0,0,0,0,20.08,0,0,29.84,188.78,4.59,10.33,44.18,0.57,0.57,6.31,0,0,0.57,4.02,0.57,3.44,162.39,0.57,6.31,49.92,185.34,10.33,0.57,9.75,0,0,6.31,0,0,136.57,0,86.07,0,1.72,5.16,0,6.31
 60-70,0,0,0,0,24.54,0,0,57.91,143.3,3.93,6.87,82.45,1.96,0.98,6.87,0,0.98,0.98,8.83,0,0,236.55,0,6.87,42.21,182.56,8.83,2.94,8.83,0.98,0.98,5.89,0,0,93.24,0,53.98,0,8.83,13.74,0,2.94
 72-82,0,0,1.96,0,31.41,0.98,0,101.11,159.03,2.94,23.56,131.54,3.93,2.94,11.78,1.96,0,3.93,9.82,0.98,0,335.73,0.98,11.78,58.9,226.76,6.87,2.94,19.63,0.98,1.96,7.85,0,0,57.92,0,24.54,1.96,13.74,25.52,9.82,2.94
 84-94,1.06,0,1.06,0,75.4,0,0,110.45,220.9,13.81,11.68,91.34,5.31,3.19,6.37,9.56,5.31,6.37,9.56,1.06,3.19,182.67,0,13.81,48.85,133.82,11.68,0,15.93,0,3.19,27.61,0,1.06,110.45,0,16.99,3.19,6.37,14.87,10.62,2.12
 96-106,0,0,2.19,1.09,66.66,7.65,0,91.8,401.07,7.65,7.65,107.1,7.65,0,17.49,7.65,4.37,4.37,3.28,6.56,2.19,204.36,3.28,9.84,52.46,140.98,6.56,2.19,28.41,2.19,6.56,13.11,0,1.09,114.75,0,18.58,1.09,12.02,33.88,16.39,4.37
108-118,0,0,1.53,0,65.87,4.6,0.77,79.66,335.49,9.19,9.96,106.47,5.36,0,7.66,5.36,0.77,13.02,5.36,2.3,1.53,164.68,0,6.13,72.77,150.13,5.36,1.53,18.38,0,6.89,8.43,0,1.53,96.51,0,11.49,4.6,7.66,14.55,6.13,3.83
120,0,0,0,0,58.79,0,0,41.16,190.1,11.76,9.8,80.35,5.88,0,9.8,1.96,7.84,1.96,5.88,1.96,0,111.71,0,3.92,78.39,127.39,7.84,0,17.64,0,3.92,3.92,0,0,29.4,0,3.92,1.96,11.76,3.92,9.8,0
